Book_name,Description,Category,Tags,Rating
(C++),no-description,"Categories: Best Selling, Books Under 750PKR, Emerging Technologies, Flash Sale, Gufhtugu Publications, Our Authors, Technical, Zeeshan ul Hassan Usmani",Tag: Programming books,no-rating
Artificial Intelligence,"آرٹی فیشل انٹیلی جینس (مصنوعی ذہانت) کیا ہے؟ ایک عام آدمی اس شعبہ کے بارے میں کیسے جان سکتا ہے؟ کیا مصنوعی ذہانت ہماری روز مرہ کی نوکریاں ختم کر دیگی ، کیا ہم کمپیوٹرز کے محتاج ہو جاینگے، کیا کمپیوٹر خود سے سوچنے سمجھنے کے قابل ہوجائیں گے، کیا انھیں معلوم ہوگا کہ وہ کیا کررہے ہیں، کیا وہ نئے اور پیچیدہ حالات میں خود سے فیصلہ کرسکیں گے، کیا کمپیوٹر اپنے آپکو خود ٹھیک کرسکیں گے، ایسے میں کیا وہ احکامات کی پابندی کریں گے، اخلاقیات اور معاشرتی ضابطوں کی پاسداری کریں گے؟ یہ ہیں وہ سوالات جن کے جوابات اے آئ جاننے میں سرگرداں ہے۔
یہ کتاب آپکو مصنوعی ذہانت سے روشناس کراۓ گی اور اس شعبہ میں آگے بڑھنے کی رہنمائی کرے گی. اردو میں اپنی نوعیت کی یہ پہلی کتاب ہے جو پانچویں جماعت سے لے کر گریجویٹ تک تمام لوگوں کے لئے یکساں مفید ہے. مستقبل مصنوعی ذہانت کا ہے اور آپ اسے سمجھے بغیر آگے نہیں بڑھ سکتے.
اپنی آرا اور تنقید سے ضرور مطلع فرمائیے گا، امید ہے یہ کتاب آپکو ضرور پسند آئے گی.","Categories: Best Selling, Books Under 750PKR, Emerging Technologies, Flash Sale, Gufhtugu Publications, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani","Tags: AI book in Urdu, Artificial Intelligence book in Urdu, what is artificial intelligence?",Rated 4.17 out of 5 based on 6 customer ratings
Bosnia Pe Kya Guzri?- بوسنیا پر کیا گذری؟,بوسنیا میں مسلم نسل کشی کے 22 ناقابل فراموش انسانیت سوز واقعات,"Categories: Best Selling, Books Under 750PKR, English Literature, Gufhtugu Publications, Mix","Tags: Bosnia, Suhail Yusuf, Vahida",no-rating
Dasht e Wafa,no-description,"Categories: Best Selling, Books Under 750PKR, Flash Sale, Gufhtugu Publications, Molana Abdul Rehman, Our Authors, Poetry U, Urdu Literature",no-tag,no-rating
Data Science-ڈیٹا سائنس,Pages 206,"Categories: Best Selling, Emerging Technologies, Gufhtugu Publications, Mix, Our Authors, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani","Tags: Data Science, Data Science book in Urdu, data science books for beginners, Zeeshan-ul-hassan Usmani",Rated 5.00 out of 5 based on 1 customer rating
Data Visualization –Set,"Authors: Sana Rasheed, Dr. Zeeshan Ul Hassan Usmani","Categories: Best Selling, Book Sets, Emerging Technologies, Mix, Our Authors, Sana Rasheed, Technical, Urdu Literature, Zeeshan ul Hassan Usmani, Zeeshan Usmani Reading List",no-tag,no-rating
Dawat e Sang,no-description,"Categories: Best Selling, Books Under 750PKR, Flash Sale, Gufhtugu Publications, Jaafar Abbas, Our Authors, Poetry U, Urdu Literature","Tags: Poetry Book, Poetry book in Urdu, Urdu Poetry Book",no-rating
Ek Tha Algorithm-ایک تھا الگورتھم,Pages: 280,"Categories: Best Selling, Books Under 750PKR, Children's Books, Emerging Technologies, Gufhtugu Publications, Kids Kahaniyan, Mix, Our Authors, SciFi, Technical, Zeeshan ul Hassan Usmani",Tag: Ek Tha Algorithm,Rated 5.00 out of 5 based on 1 customer rating
Gham Bhee Gum Nhi Hoty,no-description,"Categories: Best Selling, Books Under 750PKR, Gufhtugu Publications, Khurram Khurshid, Our Authors",no-tag,no-rating
Internet Se Paise Kamain-انٹرنیٹ سے پیسہ کمائیں,Pages: 280,"Categories: Best Selling, Emerging Technologies, Gufhtugu Publications, Mix, Technical, Zeeshan ul Hassan Usmani","Tags: How to earn Online, Internet Money, Internet Se Paise Kamain, Make a Living",Rated 5.00 out of 5 based on 4 customer ratings
