book_title,book_sell_cat,book_url
(C++),Best Selling,https://gufhtugu.com/c-plus-plus/
Artificial Intelligence,Best Selling,https://gufhtugu.com/artificial-intelligence/
Bosnia Pe Kya Guzri?- بوسنیا پر کیا گذری؟,Best Selling,https://gufhtugu.com/bosnia/
Dasht e Wafa,Best Selling,https://gufhtugu.com/product/dasht-e-wafa/
Data Science-ڈیٹا سائنس,Best Selling,https://gufhtugu.com/data-science/
Data Visualization –Set,Best Selling,https://gufhtugu.com/data-visualization-set/
Dawat e Sang,Best Selling,https://gufhtugu.com/product/dawat-e-sang/
Ek Tha Algorithm-ایک تھا الگورتھم,Best Selling,https://gufhtugu.com/ek-tha-algorithm/
Fear Management – A Spiritual Insight into Overcoming Your Fear,Best Selling,https://gufhtugu.com/product/fear-management-a-spiritual-insight-into-overcoming-your-fear/
Gham Bhee Gum Nhi Hoty,Best Selling,https://gufhtugu.com/product/gham-bhee-gum-nhi-hoty/
Internet Se Paise Kamain-انٹرنیٹ سے پیسہ کمائیں,Best Selling,https://gufhtugu.com/freelancing/
Introduction to Blockchain with Case Studies,Best Selling,https://gufhtugu.com/product/introduction-to-blockchain-with-case-studies/
Irteqa Shaheen,Best Selling,https://gufhtugu.com/product/irteqa-shaheen/
Kaggle for Begginers,Best Selling,https://gufhtugu.com/product/kaggle-for-begginers/
Linux – An Introduction,Best Selling,https://gufhtugu.com/linux-an-introduction/
LOST ISLAMIC HISTORY,Best Selling,https://gufhtugu.com/lost-islamic-history/
Machine Learning Set (I & II),Best Selling,https://gufhtugu.com/machine-learning/
Managers as Little Prince by Khurram Ellahi,Best Selling,https://gufhtugu.com/product/managers-as-little-prince-by-khurram-ellahi/
Mr Human,Best Selling,https://gufhtugu.com/product/mr-human/
Python Programming,Best Selling,https://gufhtugu.com/python-programming/
Teesra Kinara,Best Selling,https://gufhtugu.com/product/teesra-kinara/
This Book is About You,Best Selling,https://gufhtugu.com/this-book-is-about-you/
