Book_name,Description,Category,Tags,Rating
Aleem Ahmed Books Set – علیم احمد کتب سیٹ,"by Aleem Ahmed (Author)
Customers also viewed :

Pakistan I Still Love You
Sins Interrupted

Language : Urdu
Total Books : 4
Discounted Price : 1,900/-","Categories: Aleem Ahmed, Book Sets, Emerging Technologies, Gufhtugu Publications, Our Authors","Tags: aleem ahmed book, emerging technologies, ghufhtugu publication, Happy New Year Sale",no-rating
Asbaq E Tarikh Set,no-description,"Categories: Book Sets, History U, Islam U, Islamic Books, Mix, Urdu Literature","Tags: Asbaq E Tarikh Book Set, gufhtugu publications, islamic history book",no-rating
Ashfaq Ahmad Books Set – اشفاق احمد کتب سیٹ,no-description,"Categories: Ashfaq Ahmed, Book Sets, Mix, Urdu Literature","Tags: Ashfaq Ahmad, Ashfaq Ahmad Books Set, Urdu literature books",no-rating
Bachon Ka Iqbal (4 Volume Set),"Author: Dr. Umar Hayat Asim Sayal
Price: 1800/-","Categories: Book Sets, Children's Book U, Children's Books, Iqbal U, New Arrivals, Urdu Literature",no-tag,no-rating
Data Scientist Books Set – ڈیٹا سائنٹسٹ کتب سیٹ,"Pages: 4182
Price: 20850/-","Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, Our Authors, Technical, Zeeshan ul Hassan Usmani, Zeeshan Usmani Reading List","Tags: Data Science, Data Science book in Urdu, Data Sciences",Rated 3.50 out of 5 based on 2 customer ratings
Data Visualization –Set,"Authors: Sana Rasheed, Dr. Zeeshan Ul Hassan Usmani","Categories: Best Selling, Book Sets, Emerging Technologies, Mix, Our Authors, Sana Rasheed, Technical, Urdu Literature, Zeeshan ul Hassan Usmani, Zeeshan Usmani Reading List",no-tag,no-rating
Digest kahaniyan Set,"Author: RASHID ASHRAF
Price: 3040/-","Categories: Afsanay U, Book Sets, Mix, Urdu Literature, Zinda Kitabein",no-tag,no-rating
Digital Marketing Books Set – ڈیجیٹل مارکیٹنگ سیٹ,مصنفین: ڈاکٹر ذیشان الحسن عثمانی ، ثناء رشید,"Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani","Tags: Digital Marketing, Digital Marketing Books by zeeshan usmani, Digital Marketing Books Set",no-rating
Dr. Amjad Saqib books Set,,"Categories: Book Sets, Dr Muhammad Amjid Saqib, MISC U, Our Authors, Urdu Literature",no-tag,no-rating
Freelancing Books Set -فری لانسنگ کتب سیٹ,"by  ZEESHAN UL HASSAN USMANI (Author), SANA RASHEED (Author)
Customers also viewed :

Data Scientist Books Set
Zeeshan Ul Hassan Usmani Books Set

Total Books : 5
Discounted Price : 1,600/-","Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, Our Authors","Tags: Freelancing Books, ghufhtugu publication, Happy New Year Sale, Online Earning",no-rating
HAYAT AL-SAHABA Set ( 1 & 2) –  ( 1 & 2) حیاۃ صحابہ,"Author: MAULANA MUHAMMAD YUSUF KANDHALVI
Price: 2360/-","Categories: Book Sets, Islamic Books",no-tag,no-rating
Imran Series by Mazhar Kaleem MA Complete Set,Author: Mazhar Kaleem MA,"Categories: Book Sets, Mazhar Kaleem MA, Mix, Novel U, SciFi, Urdu Literature",Tag: Imran Series,no-rating
Krishan Chandar Novels Set – کرشن چندر ناول سیٹ,"by Krishan Chander (Author)
Customers also viewed :

Thanda Gosht – ٹھنڈا گوشت
Andhay Log – اندھے لوگ

Language : Urdu
Total Books : 10
Discounted Price : 3,800/-","Categories: Book Sets, Novel U, Urdu Literature","Tags: Krishan Chandar Novels Set, urdu literature, Urdu Novels, urdu reading book",no-rating
Library Package – 4,no-description,"Categories: Book Sets, Emerging Technologies, Library, New Arrivals",no-tag,no-rating
Library Package -1,no-description,"Categories: Book Sets, Children's Books, Emerging Technologies, Gufhtugu Publications, Library, New Arrivals",no-tag,no-rating
Library Package -2,no-description,"Categories: Book Sets, Children's Books, Emerging Technologies, Gufhtugu Publications, Library, New Arrivals",no-tag,no-rating
Library Package -3,no-description,"Categories: Book Sets, Emerging Technologies, Library, New Arrivals, Uncategorized1",no-tag,no-rating
Machine Learning Set (I & II),ثناء رشید اور ذیشان الحسن عثمانی,"Categories: Best Selling, Book Sets, Emerging Technologies, Gufhtugu Publications, Mix, Our Authors, Technical, Zeeshan ul Hassan Usmani","Tags: Artificial Intelligence, Data Sciences, Machine Learning",Rated 5.00 out of 5 based on 1 customer rating
Namal-(نمل – اول دوم یکجا),"Author: NIMRA AHMED
Price: 3000/-","Categories: Book Sets, Mix, Novel U, Urdu Literature",no-tag,no-rating
PySpark Set (I & II) – پائی اسپارک سیٹ (جلد اول و دوم),مصنفین: ثناء رشید، ذیشان الحسن عثمانی,"Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani","Tags: data science book, PySpark 2.1.2 documentation, PySpark Set (I & II), spark grogramming guide",no-rating
Qasim Ali Shah Books Set – قاسم علی شاہ کتب سیٹ,"by Qasim Ali Shah (Author)

Customers also viewed :

Bari Manzil Ka Musafir
Soch Kay Niralay Dhang 


Total Books : 10
Discounted Price : 4,700/-","Categories: Book Sets, Mix, Qasim Ali Shah","Tags: career counseling, gufhtugu.com, new year sale, Qasim Ali Shah Books Set, urdu literature",no-rating
Sana Rasheed Books Set -ثنا رشید کتب سیٹ۔,"by Sana Rasheed. (Author)
Customers also viewed :

Data Scientist Books Set
Freelancing Books Set
Machine Learning Set (I & II)

Language : Urdu
Total Books : 13
Discounted Price : 6,900/-","Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, Our Authors, Sana Rasheed","Tags: data science book, Emerging Technologies Books Set, urdu books",no-rating
Seerat Ul Nabi(saw) Books Set – سیرت النبیﷺ کتب سیٹ,"Customers also viewed :

Ashfaq Ahmad Books Set 
Health Books Set
Sharah Asma e Husna – Set

Language : Urdu
Total Books : 3
Discounted Price : 5,400/-","Categories: Book Sets, Islam U, Islamic Books, Urdu Literature","Tags: Free Islamic Books, ghufhtugu publication, Islamic Books, Urdu Reading Books",no-rating
Sharah Asma e Husna – Set,"Authors: Hazrat Molana Hassan Jan
Muhfti Mehmood Ashraf Usmani
Molana Qari Miftah Ullah
Price: 1400/-","Categories: Book Sets, Islam U, Islamic Books, Religious U, Urdu Literature",no-tag,no-rating
Tareekh E Millat (3 Volumes),"Author: Mufti Zainul Abidin
Language: Urdu
Pages:1923
Price: 1800/-","Categories: Book Sets, Islamic Books",no-tag,no-rating
Tariq Baloch Sehraei -3,طارق بلوچ صحرائی صاحب کی بہترین تین کتابیں۔۔,"Categories: Book Sets, Tariq Baloch Sehraei, Urdu Literature",no-tag,no-rating
Travelogue Books Set – سفری کتابوں کا مجموعہ,no-description,"Categories: Book Sets, Emerging Technologies, Mix, Travelogue U","Tags: book set, gufhtugu publications, Travelogue Books Set",no-rating
Wasif Ali Wasif Books Set – واصف علی واصف کتب سیٹ,no-description,"Categories: Book Sets, Mix, Urdu Literature","Tags: book set, urdu book, Wasif Ali Wasif Books Set",no-rating
Women Islamic Books Set -خواتین اسلامی کتب سیٹ,"Customers also viewed :

Mujhe Namaz Sikha Dijye (for girls)
Azdawaji Zindagi K Sharai Ahkam

Total Books : 12
Discounted Price : 5,400/-","Categories: Book Sets, Islam U, Islamic Books, Urdu Literature, Women Books","Tags: Free Islamic Books on Women, gufhtugu.com, Muslim Women, urdu reading book",no-rating
