book_title,book_sell_cat,book_url
Aleem Ahmed Books Set – علیم احمد کتب سیٹ,Aleem Ahmed,https://gufhtugu.com/aleem-ahmed-books-set/
Asbaq E Tarikh Set,Book Sets,https://gufhtugu.com/asbaq-e-tarikh-set/
Ashfaq Ahmad Books Set – اشفاق احمد کتب سیٹ,Ashfaq Ahmed,https://gufhtugu.com/ashfaq-ahmad-books-set/
Bachon Ka Iqbal (4 Volume Set),Book Sets,https://gufhtugu.com/bachon-ka-iqbal-4-volume-set/
Data Scientist Books Set – ڈیٹا سائنٹسٹ کتب سیٹ,Book Sets,https://gufhtugu.com/data-scientist-books-set/
Data Visualization –Set,Best Selling,https://gufhtugu.com/data-visualization-set/
Digest kahaniyan Set,Afsanay U,https://gufhtugu.com/digest-kahaniyan-set/
Dr. Amjad Saqib books Set,Book Sets,https://gufhtugu.com/product/dr-amjid-saqib-books/
Freelancing Books Set -فری لانسنگ کتب سیٹ,Book Sets,https://gufhtugu.com/freelancing-books-set/
HAYAT AL-SAHABA Set ( 1 & 2) –  ( 1 & 2) حیاۃ صحابہ,Book Sets,https://gufhtugu.com/hayat-al-sahaba/
Krishan Chandar Novels Set – کرشن چندر ناول سیٹ,Book Sets,https://gufhtugu.com/krishan-chandar-novels-set/
Library Package – 4,Book Sets,https://gufhtugu.com/library-package-4/
Library Package -1,Book Sets,https://gufhtugu.com/library-package-1/
Library Package -2,Book Sets,https://gufhtugu.com/library-package-2/
Library Package -3,Book Sets,https://gufhtugu.com/library-package-3/
Machine Learning Set (I & II),Best Selling,https://gufhtugu.com/machine-learning/
Namal-(نمل – اول دوم یکجا),Book Sets,https://gufhtugu.com/namal/
PySpark Set (I & II) – پائی اسپارک سیٹ (جلد اول و دوم),Book Sets,https://gufhtugu.com/pyspark-set-i-ii/
Qasim Ali Shah Books Set – قاسم علی شاہ کتب سیٹ,Book Sets,https://gufhtugu.com/qasim-ali-shah-books-set/
Sana Rasheed Books Set -ثنا رشید کتب سیٹ۔,Book Sets,https://gufhtugu.com/sana-rasheed-books-set/
Seerat Ul Nabi(saw) Books Set – سیرت النبیﷺ کتب سیٹ,Book Sets,https://gufhtugu.com/seerat-ul-nabisaw-books-set/
Sharah Asma e Husna – Set,Book Sets,https://gufhtugu.com/sharah-asma-e-husna-set/
Tareekh E Millat (3 Volumes),Book Sets,https://gufhtugu.com/tareekh-e-millat-3-volumes/
Tariq Baloch Sehraei -3,Book Sets,https://gufhtugu.com/tariq-baloch-sehraei-best-3/
Travelogue Books Set – سفری کتابوں کا مجموعہ,Book Sets,https://gufhtugu.com/travelogue-books-set/
Wasif Ali Wasif Books Set – واصف علی واصف کتب سیٹ,Book Sets,https://gufhtugu.com/wasif-ali-wasif-books-set/
Women Islamic Books Set -خواتین اسلامی کتب سیٹ,Book Sets,https://gufhtugu.com/women-islamic-books-set/
Zeeshan Ul Hassan Usmani Books Set – ذیشان الحسن عثمانی کتب سیٹ,Book Sets,https://gufhtugu.com/zeeshan-ul-hassan-usmani-books-set/
Zinda Kitabein Books Set – زندہ کتابیں سیٹ,Book Sets,https://gufhtugu.com/zinda-kitabein-books-set/
