book_title,book_sell_cat,book_url
1984 (URDU),Classics,https://gufhtugu.com/1984-urdu-translation/
21st century Nobel Inaam yafta Khawateen,Classics,https://gufhtugu.com/21st-century-nobel-inaam-yafta-khawateen/
Aik Pagal ki Diary,Books Under 750PKR,https://gufhtugu.com/aik-pagal-ki-diary/
Ajnabi,Books Under 750PKR,https://gufhtugu.com/ajnabi/
Andhay Log,Classics,https://gufhtugu.com/andhay-log/
ANGREZI NOVEL O NASRI SARMAYA,Classics,https://gufhtugu.com/angrezi-novel-o-nasri-sarmaya/
Animal Farm-Urdu,Classics,https://gufhtugu.com/animal-form/
Apni Sogawar Beswaon ki Yadain,Books Under 750PKR,https://gufhtugu.com/apni-sogawar-beswaon-ki-yadain/
Asmaa ul Husna,Books Under 750PKR,https://gufhtugu.com/asmaa-ul-husna/
AUR DON BEHTA RAHA,Classics,https://gufhtugu.com/aur-don-behta-raha/
Baar k us paar,Books Under 750PKR,https://gufhtugu.com/baar-k-us-paar/
Bezvi Aurat,Books Under 750PKR,https://gufhtugu.com/bezvi-aurat/
Boorha aur samundar (translation),Books Under 750PKR,https://gufhtugu.com/boorha-aur-samundar-translation/
Chalta Purza (Translation),Books Under 750PKR,https://gufhtugu.com/chalta-purza-translation/
Char Shahkaar Khail,Classics,https://gufhtugu.com/char-shahkaar-khail/
Christmas,Books Under 750PKR,https://gufhtugu.com/christmas/
DEVTA KI BETIYAN,Afsanay U,https://gufhtugu.com/devta-ki-betiyan/
Dewano ki Diariyan,Books Under 750PKR,https://gufhtugu.com/dewano-ki-diariyan/
Dhai Khany ki Chaal,Afsanay U,https://gufhtugu.com/dhai-khany-ki-chaal/
Diwana hy Diwana,Classics,https://gufhtugu.com/diwana-hy-diwana/
Do Neem April,Books Under 750PKR,https://gufhtugu.com/do-neem-april/
Dor e Jadeed main Paisa,Classics,https://gufhtugu.com/dor-e-jadeed-main-paisa/
Dulari – دلاری,Classics,https://gufhtugu.com/dillari/
Falsafa Sinica,Classics,https://gufhtugu.com/falsafa-sinica/
Feeka,Books Under 750PKR,https://gufhtugu.com/feeka/
Ganji ki Kahani,Classics,https://gufhtugu.com/ganji-ki-kahani/
Gatsby,Books Under 750PKR,https://gufhtugu.com/gatsby/
God Father,Classics,https://gufhtugu.com/god-father/
Illustrated Family Encyclopedia Volume 1 Book,Classics,https://gufhtugu.com/illustrated-family-encyclopedia-volume-1-book/
Jane Eyre,Books Under 750PKR,https://gufhtugu.com/jane-eyre/
Jhijak,Afsanay U,https://gufhtugu.com/jhijak/
Justju ka safar-1,Books Under 750PKR,https://gufhtugu.com/justju-ka-safar-1/
Kaly jismo ki Riyazat,Books Under 750PKR,https://gufhtugu.com/kaly-jismo-ki-riyazat/
Kamyabi k Jadoi Asraat,Books Under 750PKR,https://gufhtugu.com/kamyabi-k-jadoi-asraat/
Kamyabi ka encyclopedia,Classics,https://gufhtugu.com/kamyabi-ka-encyclopedia/
Kazaak,Books Under 750PKR,https://gufhtugu.com/kazaak/
Khush kismati kia hy?,Classics,https://gufhtugu.com/khush-kismati-kia-hy/
KITAB E UMEED,Classics,https://gufhtugu.com/kitab-e-umeed/
Lahore: A Sentimental Journey,Books Under 750PKR,https://gufhtugu.com/lahore-a-sentimental-journey/
Mabaad Theory,Afsanay U,https://gufhtugu.com/mabad-theory/
Manjh ro peet,Classics,https://gufhtugu.com/manjh-ro-peet/
Matam Aik Aurat ka – ماتم ایک عورت کا,Books Under 750PKR,https://gufhtugu.com/matam-aik-aurat-ka/
Matli,Classics,https://gufhtugu.com/matli/
Muntakhib Almi mazahiya Kahanian,Afsanay U,https://gufhtugu.com/muntakhib-almi-mazahiya-kahanian/
Muqadma,Books Under 750PKR,https://gufhtugu.com/muqadma/
Novel ka fun,Books Under 750PKR,https://gufhtugu.com/novel-ka-fun/
Orient Express,Classics,https://gufhtugu.com/orient-express/
PAHARON KI FARYAD,Classics,https://gufhtugu.com/paharon-ki-faryad/
PAPILLON,Classics,https://gufhtugu.com/papillon/
Pehchan,Books Under 750PKR,https://gufhtugu.com/pehchan/
"Pink: The History of a Punk, Pretty, Powerful Color",Classics,https://gufhtugu.com/pink-the-history-of-a-punk-pretty-powerful-color/
Qalb-E-Zulmaat,Books Under 750PKR,https://gufhtugu.com/qalb-e-zulmaat/
Rehmdilana Zindagi Guzarny k 12 usool,Books Under 750PKR,https://gufhtugu.com/rehmdilana-zindagi-guzarny-k-12-usool/
Roshni ke Jangju,Books Under 750PKR,https://gufhtugu.com/roshni-ke-jangju/
Saain ki Dua,Books Under 750PKR,https://gufhtugu.com/saain-ki-dua/
Sawanih Ibn e Arabi – سوانح ابن عربی,Classics,https://gufhtugu.com/sawanih-ibn-e-arabi/
Schizophrenia,Books Under 750PKR,https://gufhtugu.com/schizophrenia/
Shandaar Kamyabi,Classics,https://gufhtugu.com/shandaar-kamyabi/
Shaoor o Ehsas,Books Under 750PKR,https://gufhtugu.com/shaoor-o-ehsas/
Sidaarth,Classics,https://gufhtugu.com/sidaarth/
