book_title,book_sell_cat,book_url
Allergy,Health,https://gufhtugu.com/allergy/
Amraz e Naswan Apna Ilaj Khud Kijye!,Health,https://gufhtugu.com/amraz-e-naswan-apna-ilaj-khud-kijye/
Cancer – aik muhlik marz,Books Under 750PKR,https://gufhtugu.com/cancer-aik-muhlik-marz/
Chati k cancer se Bachao,Emerging Technologies,https://gufhtugu.com/chati-k-cancer-se-bachao/
Ghiza or Ghizayat,Flash Sale,https://gufhtugu.com/ghiza-or-ghizayat/
Hum or hamari sihat,Books Under 750PKR,https://gufhtugu.com/hum-or-hmari-sihat/
Machhar,Flash Sale,https://gufhtugu.com/machhar/
Maweshion k umoor,Flash Sale,https://gufhtugu.com/maweshion-k-umoor/
Medical Emergency main Homeopathic Ilaj,Books Under 750PKR,https://gufhtugu.com/medical-emergency-main-homeopathic-ilaj/
Medicine of prophet,English Literature,https://gufhtugu.com/medicine-of-prophet/
Shahad se Ilaaj – شہد سے علاج,Books Under 750PKR,https://gufhtugu.com/shahad-se-ilaaj/
Sihat Bakhsh Adaat,Books Under 750PKR,https://gufhtugu.com/sihat-bakhsh-adaat/
Sihat o Salamti,Flash Sale,https://gufhtugu.com/sihat-o-salamti/
Sugar ko Shikast dein – شوگر کو شکست  دیں,Health,https://gufhtugu.com/sugar-ko-shikast-dein/
Zia Betis Control Kijye,Books Under 750PKR,https://gufhtugu.com/zia-betis-control-kijye/
بانجھ پن,Health,https://gufhtugu.com/%D8%A8%D8%A7%D9%86%D8%AC%DA%BE-%D9%BE%D9%86/
