book_title,book_sell_cat,book_url
(C++),Best Selling,https://gufhtugu.com/c-plus-plus/
Aain DaS sekhain,Emerging Technologies,https://gufhtugu.com/aain-dos-sekhain/
AI for Babies & Toddlers,Books Under 750PKR,https://gufhtugu.com/toddlers/
Artificial Intelligence,Best Selling,https://gufhtugu.com/artificial-intelligence/
Artificial Intelligence(AI) for the 5th Grader,Books Under 750PKR,https://gufhtugu.com/artificial-intelligenceai-for-the-5th-grader/
BARAY SAWALON KAY MUKHTASAR JAWAB,Educational U,https://gufhtugu.com/baray-sawalon-kay-mukhtasar-jawab/
"Blockchain, Cryptocurrency And Bitcoin",Books Under 750PKR,https://gufhtugu.com/zeeshanusmanibook/
Bug Bounty for Dummies,Educational E,https://gufhtugu.com/bug-bounty-for-dummies/
Chati k cancer se Bachao,Emerging Technologies,https://gufhtugu.com/chati-k-cancer-se-bachao/
Data Analysis – ڈیٹا اینالیسس,Educational U,https://gufhtugu.com/data-analysis/
Data Science Interview – ڈیٹا سائنس انٹرویو,Emerging Technologies,https://gufhtugu.com/data-science-interview/
Data Science-ڈیٹا سائنس,Best Selling,https://gufhtugu.com/data-science/
Data Scientist Books Set – ڈیٹا سائنٹسٹ کتب سیٹ,Book Sets,https://gufhtugu.com/data-scientist-books-set/
Data Visualization –  ڈیٹا وژولائزیشن,Educational U,https://gufhtugu.com/data-visualization/
Data Visualization –Set,Best Selling,https://gufhtugu.com/data-visualization-set/
Data Visualization in Tableau – ٹیبلؤمیں ڈیٹا وژولائزیشن,Educational U,https://gufhtugu.com/data-visualization-in-tableau/
Deemak ki kahani,Books Under 750PKR,https://gufhtugu.com/deemak-ki-kahani/
Dinosaur,Books Under 750PKR,https://gufhtugu.com/dinosaur/
Double helix,Books Under 750PKR,https://gufhtugu.com/double-helix/
Driving Khud Seekhiyay – ڈرائیونگ خود سیکھئے,Books Under 750PKR,https://gufhtugu.com/driving-khud-seekhiyay/
Ek Tha Algorithm-ایک تھا الگورتھم,Best Selling,https://gufhtugu.com/ek-tha-algorithm/
Farhang e Hayatiyat,Books Under 750PKR,https://gufhtugu.com/farhang-e-hayatiyat/
Farhang e Kimya,Books Under 750PKR,https://gufhtugu.com/farhang-e-kimya/
Farhang e Rayazi,Flash Sale,https://gufhtugu.com/farhang-e-rayazi/
Farhang e tabiyat,Flash Sale,https://gufhtugu.com/farhang-e-tabiyat/
Feesad ka Istimal,Flash Sale,https://gufhtugu.com/feesad-ka-istimal/
Fortran 77,Books Under 750PKR,https://gufhtugu.com/fortran-77/
Gharelo encyclopedia,Educational U,https://gufhtugu.com/gharelo-encyclopedia/
Gharelo Refrigerator or Air Conditioner,Educational U,https://gufhtugu.com/gharelo-refrigerator-or-air-conditioner/
Gin Tara (Abacus),Technical,https://gufhtugu.com/gin-tara-abacus/
Hamari Jild,Books Under 750PKR,https://gufhtugu.com/hamari-jild/
Haqeeqat ka Jadu,Books Under 750PKR,https://gufhtugu.com/haqeeqat-ka-jadu/
Hewani Fitrat jibillat or rawiye,Educational U,https://gufhtugu.com/hewani-fitrat-jibillat-or-rawiye/
Ilm e Kimya,Educational U,https://gufhtugu.com/ilm-e-kimya/
Ilm ul Ahsa o Tehlili Hindsa,Flash Sale,https://gufhtugu.com/ilm-ul-ahsa-o-tehlili-hindsa/
Insani Jisam Kia hy,Books Under 750PKR,https://gufhtugu.com/insani-jisam-kia-hy/
Internet Se Paise Kamain-انٹرنیٹ سے پیسہ کمائیں,Best Selling,https://gufhtugu.com/freelancing/
Introduction to Blockchain with Case Studies,Best Selling,https://gufhtugu.com/product/introduction-to-blockchain-with-case-studies/
Jadeed Tabiyat,Flash Sale,https://gufhtugu.com/jadeed-tabiyat/
Jadid gulbani or chaman arayi,Educational U,https://gufhtugu.com/jadid-gulbani-or-chaman-arayi/
Kaggle for Begginers,Best Selling,https://gufhtugu.com/product/kaggle-for-begginers/
Kashaaf e Mukhaffafat,Educational U,https://gufhtugu.com/kashaaf-e-mukhaffafat/
Khamrey,Books Under 750PKR,https://gufhtugu.com/khaamrey/
Khordbini Jandaar or Amal e Takhmeer,Educational U,https://gufhtugu.com/khordbini-jandaar-or-amal-e-takhmeer/
Kimyaa or hum,Books Under 750PKR,https://gufhtugu.com/kimyaa-or-hum/
Koh e Atish Fishan,Educational U,https://gufhtugu.com/koh-e-atish-fishan/
Lava kia hy,Educational U,https://gufhtugu.com/lava-kia-hy/
Library Package – 5,Children's Books,https://gufhtugu.com/library-package-5/
Linux – An Introduction,Best Selling,https://gufhtugu.com/linux-an-introduction/
Machine Learning  (Part 1),Emerging Technologies,https://gufhtugu.com/machine-learning-part-1/
Machine Learning (Part 2),Emerging Technologies,https://gufhtugu.com/machine-learning-part-2/
Machine Learning or Cyber Security – مشین لرننگ اور سائبر سکیورٹی,Educational U,https://gufhtugu.com/machine-learning-or-cyber-security/
Machine Learning Set (I & II),Best Selling,https://gufhtugu.com/machine-learning/
Madey – Kimiya,Books Under 750PKR,https://gufhtugu.com/madey-kimiya/
Maqnatees or Maqnatesiyat,Educational U,https://gufhtugu.com/maqnatees-or-maqnatesiyat/
Masnoi Siyarchy,Educational U,https://gufhtugu.com/masnoi-siyarchy/
Metaverse – میٹاورس,Emerging Technologies,https://gufhtugu.com/metaverse/
Muajid Khawateen,Educational U,https://gufhtugu.com/muajid-khawateen/
Muslim Youth Science and Islam,Books Under 750PKR,https://gufhtugu.com/muslim-youth-science-and-islam/
Naqris or Ganthiya,Educational U,https://gufhtugu.com/naqris-or-ganthiya/
Nisbat or tansab,Emerging Technologies,https://gufhtugu.com/nisbat-or-tansab/
Office 2007/2010,Books Under 750PKR,https://gufhtugu.com/office-2007-2010/
Operational Amplifier Circuits,Educational U,https://gufhtugu.com/operational-amplifier-circuits/
Pakistan k Hayatiyati Mantaqay or Nizam-1,Educational U,https://gufhtugu.com/pakistan-k-hayatiyati-mantaqay-or-nizam-1/
Pani – Hamari Zindagi,Educational U,https://gufhtugu.com/pani-hamari-zindagi/
Power BI (Advance) – (ایڈوانس) پاور بی آئی,Educational U,https://gufhtugu.com/power-bi-advance/
Power BI ka Taruf – پاور بی آئی کا تعارف,Educational U,https://gufhtugu.com/power-bi-ka-taruf/
"Probability, Statistics & Data Science – امکان،شماریات اور ڈیٹا سائنس",Educational U,https://gufhtugu.com/probability-statistics-data-science/
Product Management,Books Under 750PKR,https://gufhtugu.com/product-management/
PySpark Set (I & II) – پائی اسپارک سیٹ (جلد اول و دوم),Book Sets,https://gufhtugu.com/pyspark-set-i-ii/
PySpark(Part 1) – پائی اسپارک(جلد اول),Educational U,https://gufhtugu.com/pysparkpart-1/
PySpark(Part 2) – پائی اسپارک(جلد دوم),Emerging Technologies,https://gufhtugu.com/pysparkpart-2/
Python Programming,Best Selling,https://gufhtugu.com/python-programming/
R ka Taaruf,Books Under 750PKR,https://gufhtugu.com/product/r-ka-taaruf/
Radio Falikyat,Educational U,https://gufhtugu.com/radio-falikyat/
Science braye Salamati,Educational U,https://gufhtugu.com/science-braye-salamati/
Simulation of Suicide Bombing: Using Computers to Save Lives,Books Under 750PKR,https://gufhtugu.com/simulation-of-suicide-bombing-using-computers-to-save-lives/
System Design – سسٹم ڈیزائن,Emerging Technologies,https://gufhtugu.com/system-design/
Tawanai,Educational U,https://gufhtugu.com/tawanai/
Thermodynamics,Educational U,https://gufhtugu.com/thermodynamics/
Urdu Science Encyclopedia -1,Educational U,https://gufhtugu.com/urdu-science-encyclopedia-1/
Welding – Gas & Electric,Educational U,https://gufhtugu.com/welding-gas-electric/
Word 2007/2010 – Urdu,Books Under 750PKR,https://gufhtugu.com/word-2007-2010-urdu/
Zaray e Amdoraft,Educational U,https://gufhtugu.com/zaray-e-amdoraft/
Zia Betis Control Kijye,Books Under 750PKR,https://gufhtugu.com/zia-betis-control-kijye/
