book_title,book_sell_cat,book_url
Abr-E-Musalsal,Mix,https://gufhtugu.com/abr-e-musalsal/
AD DU’A Divine Help,Books Under 750PKR,https://gufhtugu.com/ad-dua-divine-help/
Akbar Badshah aur Birbal ki Kehaniyan,Mix,https://gufhtugu.com/akbar-badshah-aur-birbal-ki-kehaniyan/
Ankhon main to dam hay,Books Under 750PKR,https://gufhtugu.com/ankhon-main-to-dam-hay/
Asool -e-tehqeeq,Books Under 750PKR,https://gufhtugu.com/asool-e-tehqeeq/
Bahishti Gohar,Books Under 750PKR,https://gufhtugu.com/bahishti-gohar/
bahishti zewar mukammal wa mudallal-(بہشتی زیور مکمل و مدلل کتابت),Uncategorized1,https://gufhtugu.com/bahishti-zewar-mukammal-wa-mudallal-%D8%A8%DB%81%D8%B4%D8%AA%DB%8C-%D8%B2%DB%8C%D9%88%D8%B1-%D9%85%DA%A9%D9%85%D9%84-%D9%88-%D9%85%D8%AF%D9%84%D9%84-%DA%A9%D8%AA%D8%A7%D8%A8%D8%AA/
BARI MANZIL KA MUSAFIR,Mix,https://gufhtugu.com/bari-manzil-ka-musafir/
BHARPUR KHUDAITMADI,Books Under 750PKR,https://gufhtugu.com/bharpur-khudaitmadi/
Dair Say Anay Wali Larki  – دیر سے آنے والی لڑکی,Books Under 750PKR,https://gufhtugu.com/dair-say-anay-wali-larki/
Danish kay moti,Uncategorized1,https://gufhtugu.com/danish-kay-moti/
Darbare Akbari,Uncategorized1,https://gufhtugu.com/%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1-%DA%A9%D8%A7%D8%B1-%D8%A7%DA%A9%D8%A8%D8%B1%DB%8C-%D8%B3%D9%86%DA%AF-%D9%85%DB%8C%D9%84-%D9%BE%D8%A8%D9%84%DB%8C-%DA%A9%DB%8C%D8%B4%D9%86%D8%B2/
Darood Sharif Say Mushkilat ka Hall,Books Under 750PKR,https://gufhtugu.com/darood-sharif-say-mushkilat-ka-hall/
Dawa ghiza aur shifa,Uncategorized1,https://gufhtugu.com/dawa-ghiza-aur-shifa/
dil ki baat,Uncategorized1,https://gufhtugu.com/dil-ki-baat/
Dil to mara odass hai Nasir,Uncategorized1,https://gufhtugu.com/dil-to-mara-odass-hai-nasir/
Diyar e Shams (Turkey Nama),Mix,https://gufhtugu.com/diyar-e-shams-turkey-nama/
Haqeeqat Maal wa Jah-(حقیقت مال و جاہ),Islam U,https://gufhtugu.com/haqeeqat-maal-wa-jah-%D8%AD%D9%82%DB%8C%D9%82%D8%AA-%D9%85%D8%A7%D9%84-%D9%88-%D8%AC%D8%A7%DB%81/
Hazrat Khalid Bin Waleed,Mix,https://gufhtugu.com/hazrat-khalid-bin-waleed/
Hazrat Nooh or Bari Kashti,Books Under 750PKR,https://gufhtugu.com/hazrat-nooh-or-bari-kashti/
Hazrat Sultan Baho,Mix,https://gufhtugu.com/hazrat-sultan-baho/
Ilm per ik Report : علم پر ایک رپورٹ,Uncategorized1,https://gufhtugu.com/ilm-per-ik-report-%D8%B9%D9%84%D9%85-%D9%BE%D8%B1-%D8%A7%DB%8C%DA%A9-%D8%B1%D9%BE%D9%88%D8%B1%D9%B9/
Istakhara Khud Karey – Delux,Mix,https://gufhtugu.com/istakhara-khud-karey-delux/
Jhinga Pehalwan ki Kehaniyan,Mix,https://gufhtugu.com/jhinga-pehalwan-ki-kehaniyan/
juram-e-zareefi,Uncategorized1,https://gufhtugu.com/juram-e-zareefi/
Library Package -3,Book Sets,https://gufhtugu.com/library-package-3/
Masumiyat Ka Qatal -معصومیت کا قتل,Mix,https://gufhtugu.com/masumiyat-ka-qatil/
Mulla Nasruddin (Dastan Khawaja…),Mix,https://gufhtugu.com/mulla-nasruddin-dastan-khawaja/
Muntakhib ghazlian,Uncategorized1,https://gufhtugu.com/muntakhib-ghazlian/
Muntakhib kalam Anjum romani,Uncategorized1,https://gufhtugu.com/muntakhib-kalam-anjum-romani/
Muntakhib kalam dagh dehalvi,Uncategorized1,https://gufhtugu.com/muntakhib-kalam-dagh-dehalvi/
Muntakhib kalam Ghulam Muhammad Qasir,Uncategorized1,https://gufhtugu.com/muntakhib-kalam-ghulam-muhammad-qasir/
Paimana-e-ghazal part-1,Mix,https://gufhtugu.com/piamana-e-ghazal-part-1/
Pakistan ki Lok Dastanain,Mix,https://gufhtugu.com/pakistan-ki-lok-dastanain/
Pareshan Hona Choriye Jeena Sikhye,Mix,https://gufhtugu.com/pareshan-hona-choriye-jeena-sikhye/
Parindon ki Dilchasp Nazmain,Mix,https://gufhtugu.com/parindon-ki-dilchasp-nazmain/
Pathron Say Elaj,Mix,https://gufhtugu.com/pathron-say-elaj/
Pekar-e-Jameel S.A.W.W,Islam U,https://gufhtugu.com/%D9%BE%DB%8C%DA%A9%D8%B1%D8%AC%D9%85%DB%8C%D9%84%EF%B7%BA/
Qomi parcham ki kahani,Uncategorized1,https://gufhtugu.com/qomi-parcham-ki-kahani/
Story of four saints,Uncategorized1,https://gufhtugu.com/story-of-four-saints/
Taaj Mahal,Mix,https://gufhtugu.com/taaj-mahal/
Tareekh Pakistan,Mix,https://gufhtugu.com/tareekh-pakistan/
Thoughts – A Journal,Books Under 750PKR,https://gufhtugu.com/thoughts-a-journal/
Tinker bell and the Secrt of the Wings ( with no CD) (Copy),Books Under 750PKR,https://gufhtugu.com/tinker-bell-and-the-secrt-of-the-wings-with-no-cd-copy/
Ujalon ka Safar – اجالوں کا سفر,Books Under 750PKR,https://gufhtugu.com/ghazali/
UMEED ZINDAGI,Mix,https://gufhtugu.com/umeed-zindagi/
Us Admi Ki Kami-اس آدمی کی کمی,Uncategorized1,https://gufhtugu.com/us-admi-ki-kami-%D8%A7%D8%B3-%D8%A2%D8%AF%D9%85%DB%8C-%DA%A9%DB%8C-%DA%A9%D9%85%DB%8C/
Yadoon ki Sargam,Uncategorized1,https://gufhtugu.com/yadoon-ki-sargam/
zahir ud din babar,Uncategorized1,https://gufhtugu.com/zahir-ud-din-babar/
Zawal maghrib part – 2,Uncategorized1,https://gufhtugu.com/zawal-maghrib-part-2/
ZINDAGI MEHDOOD NAHI,Books Under 750PKR,https://gufhtugu.com/zindagi-mehdood-nahi/
