book_title,book_sell_cat,book_url
(C++),Best Selling,https://gufhtugu.com/c-plus-plus/
10 Rupees wali 25 Kahaniyon ka Set,Books Under 750PKR,https://gufhtugu.com/10-rupees-wali-25-kahaniyon-ka-set/
100 Azeem Sciencey Daryaftain,Books Under 750PKR,https://gufhtugu.com/so-azeem-sciencey-daryaftain/
12 Maheeno’n k Fazail o Ahkam,Books Under 750PKR,https://gufhtugu.com/12-maheenon-k-fazail-o-ahkam/
12 saddi k Ulema e Baresagheer,Books Under 750PKR,https://gufhtugu.com/12-saddi-k-ulema-e-baresagheer/
1984 – English,Books Under 750PKR,https://gufhtugu.com/1984-english/
A Study in Scarlet,Books Under 750PKR,https://gufhtugu.com/a-study-in-scarlet/
Aa’nhazrat SAW k Sawalat or Sahaba k Jawabat,Books Under 750PKR,https://gufhtugu.com/aanhazrat-saw-k-sawakat-or-sahaba-k-jawabat/
Aadab Ul Mu’asharat,Books Under 750PKR,https://gufhtugu.com/aadab-ul-muasharat/
Aah o Zari,Books Under 750PKR,https://gufhtugu.com/aah-o-zari/
Aaina Amliyaat – آئینہ عملیات,Books Under 750PKR,https://gufhtugu.com/aaina-amliyaat/
Aalam Islam Ki Sorat e Hal,Books Under 750PKR,https://gufhtugu.com/aalam-islam-ki-sorat-e-hal/
Aao Bacho Dua Parhain,Books Under 750PKR,https://gufhtugu.com/aao-bacho-dua-parhain/
Aashnaiyan kia kia,Books Under 750PKR,https://gufhtugu.com/aashnaiyan-kia-kia/
Aathvan Aadmi,Books Under 750PKR,https://gufhtugu.com/aathvan-aadmi/
AD DU’A Divine Help,Books Under 750PKR,https://gufhtugu.com/ad-dua-divine-help/
Adaab Al Masajid,Books Under 750PKR,https://gufhtugu.com/adaab-al-masajid/
ADAB AZAN O IQAMAT,Books Under 750PKR,https://gufhtugu.com/adab-azan-o-iqamat/
Adab ul Muashrat,Books Under 750PKR,https://gufhtugu.com/adab-ul-muashrat/
ADMI GHANEEMAT HAI,Books Under 750PKR,https://gufhtugu.com/admi-ghaneemat-hai/
AHADITH QUDSIYA,Books Under 750PKR,https://gufhtugu.com/ahadith-qudsiya/
Ahang baz gasht,Books Under 750PKR,https://gufhtugu.com/ahang-baz-gasht/
Ahkam e Islam Aqal ki Nazar main – احکام اسلام عقل کی نظر میں,Books Under 750PKR,https://gufhtugu.com/ahkam-e-islam-aqal-ki-nazar-main/
AI for Babies & Toddlers,Books Under 750PKR,https://gufhtugu.com/toddlers/
Aik Aurat Hazar Diwane(ایک عورت ہزار دیوانے),Books Under 750PKR,https://gufhtugu.com/aik-aurat-hazar-diwane/
Aik Gadhay Ki Sarguzasht – ایک گدھے کی سرگزشت,Books Under 750PKR,https://gufhtugu.com/aik-gadhay-ki-sarguzasht/
Aik khanjar Pani me – ایک خنجر پانی میں,Books Under 750PKR,https://gufhtugu.com/aik-khanjar-pani-me/
Aik Pagal ki Diary,Books Under 750PKR,https://gufhtugu.com/aik-pagal-ki-diary/
Aik Police Officer ki Diary,Autobiography U,https://gufhtugu.com/aik-police-officer-ki-diary/
AIK QATRA KHOON,Books Under 750PKR,https://gufhtugu.com/aik-qatra-khoon/
Aik Qatra Khoon- ایک قطرہ خون,Books Under 750PKR,https://gufhtugu.com/aik-qatra-khoon/
Aik tha But Shikan,Books Under 750PKR,https://gufhtugu.com/ik-tha-but-shikan/
Aik thi Gypsi – ایک تھی جپسی,Books Under 750PKR,https://gufhtugu.com/aik-thi-gypsi/
Aik Udas Kitab,Afsanay U,https://gufhtugu.com/aik-udas-kitab/
Aik Yaadgar Mushaira,Amjad Saqib,https://gufhtugu.com/product/aik-yaadgar-mushaira/
Ajnabi,Books Under 750PKR,https://gufhtugu.com/ajnabi/
Akhbar ul Akhyar,Books Under 750PKR,https://gufhtugu.com/akhbar-ul-akhyar/
Akhlaq E Muhammad(SAW) Quran Hakeem k Ainey main,Books Under 750PKR,https://gufhtugu.com/akhlaq-e-muhammadsaw-quran-hakeem-k-ainey-main/
Al Khummar,Books Under 750PKR,https://gufhtugu.com/al-khummar/
Al-Hizb Al-Azam,Books Under 750PKR,https://gufhtugu.com/al-hizb-al-azam/
Aladin ka charagh: bachchon ki alif laila,Books Under 750PKR,https://gufhtugu.com/aladin-ka-charagh-bachchon-ki-alif-laila/
ALAIKUM BI SUNNATI,Books Under 750PKR,https://gufhtugu.com/alaikum-bi-sunnati/
Alaikum Bi Sunnati,Books Under 750PKR,https://gufhtugu.com/alaikum-bi-sunnati-2/
Alam E Barzakh,Books Under 750PKR,https://gufhtugu.com/alam-e-barzakh/
Alamaat e Qayamat aor Daur e Hazir,Books Under 750PKR,https://gufhtugu.com/alamaat-e-qayamat-aor-daur-e-hazir/
Alamat e Qayamat Aur Dor e Hazir,Books Under 750PKR,https://gufhtugu.com/alamat-e-qayamat-aur-dor-e-hazir/
