book_title,book_sell_cat,book_url
Data Science Interview – ڈیٹا سائنس انٹرویو,Emerging Technologies,https://gufhtugu.com/data-science-interview/
Dayar e Dil – دیار دل,Gufhtugu Publications,https://gufhtugu.com/dayar-e-dil/
Guldasta Shahid Ahmed Dehlavi,Biography U,https://gufhtugu.com/guldasta-shahid-ahmed-dehlavi/
Kafley Ujalon k,Afsanay U,https://gufhtugu.com/kafley-ujalon-k/
Kia Qafla Jata hy,Afsanay U,https://gufhtugu.com/kia-qafla-jata-hy/
Machine Learning or Cyber Security – مشین لرننگ اور سائبر سکیورٹی,Educational U,https://gufhtugu.com/machine-learning-or-cyber-security/
Mukhtasir Safarnamay o Raportaz,Mix,https://gufhtugu.com/mukhtasir-safarnamay-o-raportaz/
PySpark Set (I & II) – پائی اسپارک سیٹ (جلد اول و دوم),Book Sets,https://gufhtugu.com/pyspark-set-i-ii/
PySpark(Part 1) – پائی اسپارک(جلد اول),Educational U,https://gufhtugu.com/pysparkpart-1/
PySpark(Part 2) – پائی اسپارک(جلد دوم),Emerging Technologies,https://gufhtugu.com/pysparkpart-2/
Qaid e Yaghistan,Autobiography U,https://gufhtugu.com/qaid-e-yaghistan/
Sadqeen Shair Musavvir Khattat,Afsanay U,https://gufhtugu.com/sadqeen-shair-musavvir-khattat/
Scienci Sahafat – سائنسی صحافت,Aleem Ahmed,https://gufhtugu.com/scienci-sahafat/
Waqfa e Pareshani,Books Under 750PKR,https://gufhtugu.com/waqfa-e-pareshani/
