book_title,book_sell_cat,book_url
100 Azeem Musliman,History U,https://gufhtugu.com/100-azeem-musliman/
100 Azeem Sciencey Daryaftain,Books Under 750PKR,https://gufhtugu.com/so-azeem-sciencey-daryaftain/
100 azeem shakhsiyat,Autobiography U,https://gufhtugu.com/100-azeem-shakhsiyat/
100: Insani Tehzeeb Kay Mamar – 100 انسانی تہذیب کے معمار,Biography U,https://gufhtugu.com/100-insani-tehzeeb-kay-mamar/
12 Maheeno’n k Fazail o Ahkam,Books Under 750PKR,https://gufhtugu.com/12-maheenon-k-fazail-o-ahkam/
1984 (URDU),Classics,https://gufhtugu.com/1984-urdu-translation/
21 Jaleel ul Qadar Tabieen Karam,Islam U,https://gufhtugu.com/21-jaleel-ul-qadar-tabieen-karam/
21st century Nobel Inaam yafta Khawateen,Classics,https://gufhtugu.com/21st-century-nobel-inaam-yafta-khawateen/
Aab e Hayat(آب حیات),Biography U,https://gufhtugu.com/aab-e-hayat/
Aadam Khor Wehshi: Maut Ka Taaqub (Book 18),Children's Book U,https://gufhtugu.com/aadam-khor-wehshi-maut-ka-taaqub-book-18/
Aaga se Aaga Nasir Tak-آغا سے آغا ناصر تک,New Arrivals,https://gufhtugu.com/aaga-se-aaga-nasir-tak/
Aaina Amliyaat – آئینہ عملیات,Books Under 750PKR,https://gufhtugu.com/aaina-amliyaat/
AAKHRI CHITAN,Mix,https://gufhtugu.com/aakhri-chitan/
AAKHRI MAARKA,Mix,https://gufhtugu.com/aakhri-maarka/
Aalam Islam Ki Sorat e Hal,Books Under 750PKR,https://gufhtugu.com/aalam-islam-ki-sorat-e-hal/
Aalmi Sb Rang Afsany,Afsanay U,https://gufhtugu.com/product/aalmi-sb-rang-afsany/
Aao Bacho Dua Parhain,Books Under 750PKR,https://gufhtugu.com/aao-bacho-dua-parhain/
AASHIANAY(آشیانے),Ashfaq Ahmed,https://gufhtugu.com/aashianay/
Aathvan Aadmi,Books Under 750PKR,https://gufhtugu.com/aathvan-aadmi/
Aaye Janwar Palty hain,Educational U,https://gufhtugu.com/aaye-janwar-palty-hain/
Abdullah  – عبد اللہ,Mix,https://gufhtugu.com/product/abdullah/
AD DU’A Divine Help,Books Under 750PKR,https://gufhtugu.com/ad-dua-divine-help/
Adab ul Muashrat,Books Under 750PKR,https://gufhtugu.com/adab-ul-muashrat/
Adhi Raat Ka Soraj-آدھی رات کا سورج,Urdu Literature,https://gufhtugu.com/adhi-raat-ka-soraj-%D8%A2%D8%AF%DA%BE%DB%8C-%D8%B1%D8%A7%D8%AA-%DA%A9%D8%A7-%D8%B3%D9%88%D8%B1%D8%AC/
Aena e Kirdar,Personal development,https://gufhtugu.com/ainda-kirdar/
Afzal Ul Bashar se Wabastagi ki Khasosiyat or isk asrar o ramoz,Islam U,https://gufhtugu.com/afzal-ul-bashar-se-wabastagi-ki-khasosiyat-or-isk-asrar-o-ramoz/
Ahkam e Islam Aqal ki Nazar main – احکام اسلام عقل کی نظر میں,Books Under 750PKR,https://gufhtugu.com/ahkam-e-islam-aqal-ki-nazar-main/
Ahsan Al-Hadees Fi Abtaal Taslees,Islam U,https://gufhtugu.com/ahsan-al-hadees-fi-abtaal-taslees/
Ahsas,Children's Book U,https://gufhtugu.com/ahsas/
Ahwal Us Saadqeen – احوال الصادقین,Islam U,https://gufhtugu.com/ahwal-us-saadqeen/
Aik Aurat Hazar Diwane(ایک عورت ہزار دیوانے),Books Under 750PKR,https://gufhtugu.com/aik-aurat-hazar-diwane/
Aik Gadhay Ki Sarguzasht – ایک گدھے کی سرگزشت,Books Under 750PKR,https://gufhtugu.com/aik-gadhay-ki-sarguzasht/
Aik Ghazal – ایک غزل,Mix,https://gufhtugu.com/aik-ghazal/
AIK HI BOLEE (PHULKARI),Ashfaq Ahmed,https://gufhtugu.com/aik-hi-bolee-phulkari/
Aik khanjar Pani me – ایک خنجر پانی میں,Books Under 750PKR,https://gufhtugu.com/aik-khanjar-pani-me/
AIK MOHABBAT SO AFSANAY,Afsanay U,https://gufhtugu.com/aik-mohabbat-so-afsanay/
Aik Muhabbat or Sahi,Novel U,https://gufhtugu.com/aik-muhabbat-or-sahi/
Aik Pagal ki Diary,Books Under 750PKR,https://gufhtugu.com/aik-pagal-ki-diary/
Aik Police Officer ki Diary,Autobiography U,https://gufhtugu.com/aik-police-officer-ki-diary/
Aik Qatra Khoon- ایک قطرہ خون,Books Under 750PKR,https://gufhtugu.com/aik-qatra-khoon/
Aik sah pehar ka Zikar,Children's Book U,https://gufhtugu.com/aik-sah-pehar-ka-zikar/
Aik Sawaal – ایک سوال,Mix,https://gufhtugu.com/aik-sawaal-%D8%A7%DB%8C%DA%A9-%D8%B3%D9%88%D8%A7%D9%84/
Aik soo azeem falsafi,Biography U,https://gufhtugu.com/aik-soo-azeem-falsafi/
Aik tha But Shikan,Books Under 750PKR,https://gufhtugu.com/ik-tha-but-shikan/
Aik thi Gypsi – ایک تھی جپسی,Books Under 750PKR,https://gufhtugu.com/aik-thi-gypsi/
Aik Udas Kitab,Afsanay U,https://gufhtugu.com/aik-udas-kitab/
Aik Yaadgar Mushaira,Amjad Saqib,https://gufhtugu.com/product/aik-yaadgar-mushaira/
Ajnabi,Books Under 750PKR,https://gufhtugu.com/ajnabi/
Akhuwat Ka Safar,Dr Muhammad Amjid Saqib,https://gufhtugu.com/product/akhuwat-ka-safar/
Aks e Aab – عکس آب,New Arrivals,https://gufhtugu.com/aks-e-aab/
Aks e Tashfeen,Mix,https://gufhtugu.com/aks-e-tashfeen/
Al Ilmul Ulmaa – العلم و لعلماء,Islam U,https://gufhtugu.com/al-ilmul-ulmaa/
Al Khummar,Books Under 750PKR,https://gufhtugu.com/al-khummar/
Al-Hizb Al-Azam,Books Under 750PKR,https://gufhtugu.com/al-hizb-al-azam/
Aladin ka charagh: bachchon ki alif laila,Books Under 750PKR,https://gufhtugu.com/aladin-ka-charagh-bachchon-ki-alif-laila/
