book_title,book_sell_cat,book_url
Aain DaS sekhain,Emerging Technologies,https://gufhtugu.com/aain-dos-sekhain/
Aaye Janwar Palty hain,Educational U,https://gufhtugu.com/aaye-janwar-palty-hain/
Alberoni,Biography U,https://gufhtugu.com/alberoni/
Allergy,Health,https://gufhtugu.com/allergy/
Amli Asariyat,Educational U,https://gufhtugu.com/amli-asariyat/
Azmaish or Jaiza,Educational U,https://gufhtugu.com/azmaish-or-jaiza/
Balogh Al-Arab – 4,Educational U,https://gufhtugu.com/balogh-al-arab-4/
Burhapa: 1 Qudarti Amal,Books Under 750PKR,https://gufhtugu.com/burhapa-1-qudarti-amal/
Cancer – aik muhlik marz,Books Under 750PKR,https://gufhtugu.com/cancer-aik-muhlik-marz/
Chati k cancer se Bachao,Emerging Technologies,https://gufhtugu.com/chati-k-cancer-se-bachao/
Cheen main Science Fiction,Books Under 750PKR,https://gufhtugu.com/cheen-main-science-fiction/
Deemak ki kahani,Books Under 750PKR,https://gufhtugu.com/deemak-ki-kahani/
Dinosaur,Books Under 750PKR,https://gufhtugu.com/dinosaur/
Einstein ki Kainaat,Books Under 750PKR,https://gufhtugu.com/einstein-ki-kainaat/
Fortran 77,Books Under 750PKR,https://gufhtugu.com/fortran-77/
Geotectonics,Educational U,https://gufhtugu.com/geotectonics/
Gharelo encyclopedia,Educational U,https://gufhtugu.com/gharelo-encyclopedia/
Gharelo Refrigerator or Air Conditioner,Educational U,https://gufhtugu.com/gharelo-refrigerator-or-air-conditioner/
Gharelo refrigerator or air conditioner ki Murammat,Books Under 750PKR,https://gufhtugu.com/gharelo-refrigerator-or-air-conditioner-ki-murammat/
Ghiza or Ghizayat,Flash Sale,https://gufhtugu.com/ghiza-or-ghizayat/
Gin Tara (Abacus),Technical,https://gufhtugu.com/gin-tara-abacus/
Hamari Jild,Books Under 750PKR,https://gufhtugu.com/hamari-jild/
Haqeeqat ka Jadu,Books Under 750PKR,https://gufhtugu.com/haqeeqat-ka-jadu/
Hewani Fitrat jibillat or rawiye,Educational U,https://gufhtugu.com/hewani-fitrat-jibillat-or-rawiye/
Hum or hamari sihat,Books Under 750PKR,https://gufhtugu.com/hum-or-hmari-sihat/
Ilm e Kimya,Educational U,https://gufhtugu.com/ilm-e-kimya/
Insani Jisam Kia hy,Books Under 750PKR,https://gufhtugu.com/insani-jisam-kia-hy/
Insaniyat ka Mustaqbil – انسانیت کا مستقبل,Educational U,https://gufhtugu.com/insaniyat-ka-mustaqbil/
Jadeed Biotechnology,Books Under 750PKR,https://gufhtugu.com/jadeed-biotechnology/
Jadid gulbani or chaman arayi,Educational U,https://gufhtugu.com/jadid-gulbani-or-chaman-arayi/
Kainaat (Ek Raaz),Books Under 750PKR,https://gufhtugu.com/kainaat-ek-raaz/
Kashaaf e Mukhaffafat,Educational U,https://gufhtugu.com/kashaaf-e-mukhaffafat/
Khamrey,Books Under 750PKR,https://gufhtugu.com/khaamrey/
Khordbini Jandaar or Amal e Takhmeer,Educational U,https://gufhtugu.com/khordbini-jandaar-or-amal-e-takhmeer/
Kimyaa or hum,Books Under 750PKR,https://gufhtugu.com/kimyaa-or-hum/
Koh e Atish Fishan,Educational U,https://gufhtugu.com/koh-e-atish-fishan/
Lava kia hy,Educational U,https://gufhtugu.com/lava-kia-hy/
Machhar,Flash Sale,https://gufhtugu.com/machhar/
Madey – Kimiya,Books Under 750PKR,https://gufhtugu.com/madey-kimiya/
Maqnatees or Maqnatesiyat,Educational U,https://gufhtugu.com/maqnatees-or-maqnatesiyat/
Mareekh,Books Under 750PKR,https://gufhtugu.com/mareekh/
Mas’ar ul Amraa,Flash Sale,https://gufhtugu.com/masar-ul-amraa/
Masnoi Siyarchy,Educational U,https://gufhtugu.com/masnoi-siyarchy/
Maweshion k umoor,Flash Sale,https://gufhtugu.com/maweshion-k-umoor/
Medical Emergency main Homeopathic Ilaj,Books Under 750PKR,https://gufhtugu.com/medical-emergency-main-homeopathic-ilaj/
Misali Talib e Ilm,Educational U,https://gufhtugu.com/misali-talib-e-ilm/
Mojain or Ehtazazat,Educational U,https://gufhtugu.com/mojain-or-ehtazazat/
Motor Winding,Educational U,https://gufhtugu.com/motor-winding/
Muajid Khawateen,Educational U,https://gufhtugu.com/muajid-khawateen/
Muntakhib Almi mazahiya Kahanian,Afsanay U,https://gufhtugu.com/muntakhib-almi-mazahiya-kahanian/
Muslim Youth Science and Islam,Books Under 750PKR,https://gufhtugu.com/muslim-youth-science-and-islam/
Naqris or Ganthiya,Educational U,https://gufhtugu.com/naqris-or-ganthiya/
Natamam Kainaat,Educational U,https://gufhtugu.com/natamam-kainaat/
Nigarish e Rangeen k Tareeqy,Educational U,https://gufhtugu.com/nigarish-e-rangeen-k-tareeqy/
Nuclei Tawanai or Atom Bomb,Books Under 750PKR,https://gufhtugu.com/nuclei-tawanai-or-atom-bomb/
Operational Amplifier Circuits,Educational U,https://gufhtugu.com/operational-amplifier-circuits/
Pakistan k Hayatiyati Mantaqay or Nizam-1,Educational U,https://gufhtugu.com/pakistan-k-hayatiyati-mantaqay-or-nizam-1/
