book_title,book_sell_cat,book_url
Aashnaiyan kia kia,Books Under 750PKR,https://gufhtugu.com/aashnaiyan-kia-kia/
ADMI GHANEEMAT HAI,Books Under 750PKR,https://gufhtugu.com/admi-ghaneemat-hai/
Ahang baz gasht,Books Under 750PKR,https://gufhtugu.com/ahang-baz-gasht/
Amritsar ki yadein,Flash Sale,https://gufhtugu.com/amritsar-ki-yadein/
Aye Tahayyar Ishq,Books Under 750PKR,https://gufhtugu.com/aye-tahayyar-ishq/
Azmat e Rafta,Mix,https://gufhtugu.com/azmat-e-rafta/
Bedar dil log,Books Under 750PKR,https://gufhtugu.com/bedar-dil-log/
Bholi hui kahanian,Books Under 750PKR,https://gufhtugu.com/bholi-hui-kahanian/
BHUPAT DAKU KI SARGUZASHT,Books Under 750PKR,https://gufhtugu.com/bhupat-daku-ki-sarguzasht/
CARPET SB -JIM CORBETT,Mix,https://gufhtugu.com/carpet-sb-jim-corbett/
Chand Sipyan Samandaro se,Books Under 750PKR,https://gufhtugu.com/chand-sipyan-samandaro-se/
Chiragh Hasan Hasrat – Ham tum ko bholy nahi,Autobiography U,https://gufhtugu.com/chiragh-hasan-hasrat-ham-tum-ko-bholy-nahi/
CHIRAGH HASSAN HASRAT – 3 Edition,Books Under 750PKR,https://gufhtugu.com/chiragh-hassan-hasrat-3-edition/
DAREECHON MAY RAKHAY CHIRAGH – SHAKHSI KHAAKAY,Books Under 750PKR,https://gufhtugu.com/dareechon-may-rakhay-chiragh-shakhsi-khaakay/
Dhundlay Saaye aor Basti Basti Roshan Thi,Afsanay U,https://gufhtugu.com/dhundlay-saaye-aor-basti-basti-roshan-thi/
Digest kahaniyan,Afsanay U,https://gufhtugu.com/digest-kahaniyan/
Digest kahaniyan Set,Afsanay U,https://gufhtugu.com/digest-kahaniyan-set/
Digest kahaniyan Vol 2,Afsanay U,https://gufhtugu.com/digest-kahaniyan-vol-2/
Digest kahaniyan Vol 3,Afsanay U,https://gufhtugu.com/digest-kahaniyan-vol-3/
Digest kahaniyan Vol 4,Afsanay U,https://gufhtugu.com/digest-kahaniyan-vol-4/
Dil he to hy,Flash Sale,https://gufhtugu.com/dil-he-to-hy/
Governor general house se Army house tak,Books Under 750PKR,https://gufhtugu.com/governor-general-house-se-army-house-tak/
Guldasta Shahid Ahmed Dehlavi,Biography U,https://gufhtugu.com/guldasta-shahid-ahmed-dehlavi/
Hairat kadah,Mix,https://gufhtugu.com/hairat-kadah/
Hairat kadah – 2,Mix,https://gufhtugu.com/hairat-kadah-2/
Hayat e Saeed,Autobiography U,https://gufhtugu.com/hayat-e-saeed/
Ibne Safi – Shakhsiyat aor Fun,Autobiography U,https://gufhtugu.com/ibne-safi-shakhsiyat-aor-fun/
Imran Series – Ibn e Safi,Afsanay U,https://gufhtugu.com/imran-series-ibn-e-safi/
Ishar al-Ghalib and Bazm Dagh,Flash Sale,https://gufhtugu.com/ishar-al-ghalib-and-bazm-dagh/
Jalib Jalib,Books Under 750PKR,https://gufhtugu.com/jalib-jalib/
JALTI BUJHTI YADAIN,Flash Sale,https://gufhtugu.com/jalti-bujhti-yadain/
JO HUM PY GUZRI,Flash Sale,https://gufhtugu.com/jo-hum-py-guzri/
Kaal Kothri,Flash Sale,https://gufhtugu.com/kaal-kothri/
Kafley Ujalon k,Afsanay U,https://gufhtugu.com/kafley-ujalon-k/
