Book_name,Description,Category,Tags,Rating
1984 (URDU),"Author: GEORGE ORWELL
Translator: ABUL FAZAL SIDDIQUI
Pages: 320
Price:700/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
21st century Nobel Inaam yafta Khawateen,"Author: M A Farooqi
Price: 1200/-","Categories: Classics, History U, Mix, Urdu Literature",no-tag,no-rating
Aik Pagal ki Diary,"Author: Abul Farah Hamayun
Price: 300/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Ajnabi,"Author: Albert Camus
Translator: Ammar Iqbal
Language: Urdu
Price: 250/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Andhay Log – اندھے لوگ,"Author: JOSE SARAMAGO
Translator: AHMAD MUSHTAQ
For more Afsanay in urdu: CLICK HERE.
Pages: 374
Price: 800/-","Categories: Afsanay U, New Arrivals, Novel U, Urdu Literature","Tags: Andhay Log Urdu Novel, ghufhtugu publication, urdu novel",no-rating
ANGREZI NOVEL O NASRI SARMAYA,"Author: Eye Frayouns
Language: Urdu
Price: 400/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Animal Farm-Urdu,"Author: George Orwell
Translator: Syed Illau Din
Language: Urdu
Price:300/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Apni Sogawar Beswaon ki Yadain,"Author: Gabriel García Márquez
Translator: Muhammad Umer Ameen
Price: 250/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Asmaa ul Husna,"Author: Munawarrah Nori Khaleeq
Price: 500/-","Categories: Books Under 750PKR, Classics, Islam U, Mix, Urdu Literature",no-tag,no-rating
AUR DON BEHTA RAHA,"Author: MIKHAIL SHOLOKHOV
Pages: 504
Price: 999/-","Categories: Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Baar k us paar,"Author: John Boyne
Translator: Dr. Fareed Ullah Siddiqui
Price: 200/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Bezvi Aurat,"Author: Leonora Carrington
Translator: Ammar Iqbal
Price: 200/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Boorha aur samundar (translation),"Author: Ernest Hemingway
Language: Urdu
Price: 199/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Chalta Purza (Translation),"Author: Muhammad Saleem-Ur-Rehman
Language: Urdu
Price: 150/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Char Shahkaar Khail,"Author: Shaukat Nawaz Nayazi
Price: 600/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Christmas,"Author: Agatha Christie
Translator:  Yaqub Yawar
Language: Urdu
Price: 400/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
DEVTA KI BETIYAN,"Author: PAULO COELHO
Price: 300/-","Categories: Afsanay U, Books Under 750PKR, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Dewano ki Diariyan,"Author: Ammar Iqbal
Price: 200/-","Categories: Books Under 750PKR, Classics, Novel U, Urdu Literature",no-tag,no-rating
Dhai Khany ki Chaal,"Author: Syed Saeed Naqvi
Price: 400/-","Categories: Afsanay U, Books Under 750PKR, Classics, Mix, Urdu Literature",no-tag,no-rating
Diwana hy Diwana,"Author: Maxim Gorky
Translator: Makhmor Jalandhari
Language: Urdu
Price: 800/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
DK Illustrated Family Encyclopedia Volume 8 H-K,DK Illustrated Family Encyclopedia Volume 8 H-K,"Categories: Children's Book, Children's Books, Classics, English Literature, International",no-tag,no-rating
Do Neem April,"Author: Ismail Kadare
Translator: Saeed Naqvi
Language: Urdu
Price: 500/-","Categories: Books Under 750PKR, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Dor e Jadeed main Paisa,"Author: Sheraz Aziz Khan
Price: 700/-","Categories: Classics, Educational U, Mix, Urdu Literature",no-tag,no-rating
Dulari – دلاری,"Author:  Toni Morrison
Translator: Syed Saeed Naqvi","Categories: Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Falsafa Sinica,"Author: Hakeem Sinica
Translator: Muhammad Abdul Aziz
Language: Urdu
Price: 950/-","Categories: Classics, Flash Sale, Mix, Philosophy U, Urdu Literature",no-tag,no-rating
Feeka,"Author: Tariq Aziz Khan
Language: Urdu
Price: 400/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Ganji ki Kahani,"Author: Syed Ehtasham Hussain
Price: 600/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Gatsby,"Author: F. SCOTT FITZGERALD
Translator: Shaukat Nawaz Niazi
Language: Urdu
Pages: 192
Price: 450/-","Categories: Books Under 750PKR, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
God Father,"Author: Mario Puzo
Translator: Yaqob Yawar
Language: Urdu
Price: 750/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Illustrated Family Encyclopedia Volume 1 Book,by Unnamed Unnamed (Author),"Categories: Classics, Educational E, English Literature, Mix",no-tag,no-rating
Jane Eyre,"Author: Orang Zeb Qasmi
Price: 300/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Jhijak,"Author: Hassan Manzar
Price: 500/-","Categories: Afsanay U, Books Under 750PKR, Classics, Mix, Urdu Literature",no-tag,no-rating
Justju ka safar-1,no-description,"Categories: Books Under 750PKR, Classics, Gufhtugu Publications, Our Authors, Zeeshan ul Hassan Usmani",no-tag,Rated 5.00 out of 5 based on 5 customer ratings
Kaly jismo ki Riyazat,"Author: Dr. Khalid Sohail/Javed Danish
Price: 350/-","Categories: Books Under 750PKR, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Kamyabi k Jadoi Asraat,"Author: F. OSs
Price: 200/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Kamyabi ka encyclopedia,"Author: Dale Carnegie
Price: 1000/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Kazaak,"Author: Leo Tolstoy
Translator: Khadija Azeem
Price: 400/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
