book_title,book_sell_cat,book_url
(C++),Best Selling,https://gufhtugu.com/c-plus-plus/
AI for Babies & Toddlers,Books Under 750PKR,https://gufhtugu.com/toddlers/
Aleem Ahmed Books Set – علیم احمد کتب سیٹ,Aleem Ahmed,https://gufhtugu.com/aleem-ahmed-books-set/
Artificial Intelligence,Best Selling,https://gufhtugu.com/artificial-intelligence/
Artificial Intelligence(AI) for the 5th Grader,Books Under 750PKR,https://gufhtugu.com/artificial-intelligenceai-for-the-5th-grader/
"Blockchain, Cryptocurrency And Bitcoin",Books Under 750PKR,https://gufhtugu.com/zeeshanusmanibook/
Bosnia Pe Kya Guzri?- بوسنیا پر کیا گذری؟,Best Selling,https://gufhtugu.com/bosnia/
Breakthrough by Dr Jamila Saleem,Books Under 750PKR,https://gufhtugu.com/product/breakthrough-by-dr-jamila-saleem/
Bug Bounty for Dummies,Educational E,https://gufhtugu.com/bug-bounty-for-dummies/
Dasht e Wafa,Best Selling,https://gufhtugu.com/product/dasht-e-wafa/
Data Analysis – ڈیٹا اینالیسس,Educational U,https://gufhtugu.com/data-analysis/
Data Science Interview – ڈیٹا سائنس انٹرویو,Emerging Technologies,https://gufhtugu.com/data-science-interview/
Data Science-ڈیٹا سائنس,Best Selling,https://gufhtugu.com/data-science/
Data Scientist Books Set – ڈیٹا سائنٹسٹ کتب سیٹ,Book Sets,https://gufhtugu.com/data-scientist-books-set/
Data Visualization –  ڈیٹا وژولائزیشن,Educational U,https://gufhtugu.com/data-visualization/
Data Visualization in Tableau – ٹیبلؤمیں ڈیٹا وژولائزیشن,Educational U,https://gufhtugu.com/data-visualization-in-tableau/
Dawat e Sang,Best Selling,https://gufhtugu.com/product/dawat-e-sang/
Dayar e Dil – دیار دل,Gufhtugu Publications,https://gufhtugu.com/dayar-e-dil/
Deceptions – Fiction Stories of a Real Society,Books Under 750PKR,https://gufhtugu.com/deceptions-fiction-stories-of-a-real-society/
Digital Jasoos – ڈیجیٹل جاسوس,Aleem Ahmed,https://gufhtugu.com/digital-jasoos/
Ek Tha Algorithm-ایک تھا الگورتھم,Best Selling,https://gufhtugu.com/ek-tha-algorithm/
Experiencing America: Through the Eyes of Visiting Fulbright Scholars,Books Under 750PKR,https://gufhtugu.com/experiencing-america-through-the-eyes-of-visiting-fulbright-scholars/
Fear Management – A Spiritual Insight into Overcoming Your Fear,Best Selling,https://gufhtugu.com/product/fear-management-a-spiritual-insight-into-overcoming-your-fear/
Freelancing Books Set -فری لانسنگ کتب سیٹ,Book Sets,https://gufhtugu.com/freelancing-books-set/
Gham Bhee Gum Nhi Hoty,Best Selling,https://gufhtugu.com/product/gham-bhee-gum-nhi-hoty/
Hacking Immortality,English Literature,https://gufhtugu.com/hacking-immortality/
Internet Se Paise Kamain-انٹرنیٹ سے پیسہ کمائیں,Best Selling,https://gufhtugu.com/freelancing/
Introduction to Blockchain with Case Studies,Best Selling,https://gufhtugu.com/product/introduction-to-blockchain-with-case-studies/
Inversions – Suleman Ahmer,English Literature,https://gufhtugu.com/inversions-suleman-ahmer/
Irteqa Shaheen,Best Selling,https://gufhtugu.com/product/irteqa-shaheen/
Justju ka safar-1,Books Under 750PKR,https://gufhtugu.com/justju-ka-safar-1/
Kaggle for Begginers,Best Selling,https://gufhtugu.com/product/kaggle-for-begginers/
Kulliyat Shakir,Books Under 750PKR,https://gufhtugu.com/kulliyat-shakir/
Library Package -1,Book Sets,https://gufhtugu.com/library-package-1/
Library Package -2,Book Sets,https://gufhtugu.com/library-package-2/
Library Package – 5,Children's Books,https://gufhtugu.com/library-package-5/
Linux – An Introduction,Best Selling,https://gufhtugu.com/linux-an-introduction/
Machine Learning  (Part 1),Emerging Technologies,https://gufhtugu.com/machine-learning-part-1/
Machine Learning (Part 2),Emerging Technologies,https://gufhtugu.com/machine-learning-part-2/
Machine Learning or Cyber Security – مشین لرننگ اور سائبر سکیورٹی,Educational U,https://gufhtugu.com/machine-learning-or-cyber-security/
Machine Learning Set (I & II),Best Selling,https://gufhtugu.com/machine-learning/
Managers as Little Prince by Khurram Ellahi,Best Selling,https://gufhtugu.com/product/managers-as-little-prince-by-khurram-ellahi/
Metaverse – میٹاورس,Emerging Technologies,https://gufhtugu.com/metaverse/
Mr Human,AR Usmani,https://gufhtugu.com/product/mr-human/
Muslim Youth Science and Islam,Books Under 750PKR,https://gufhtugu.com/muslim-youth-science-and-islam/
Namaz Course – نماز کورس,Books Under 750PKR,https://gufhtugu.com/namaz-course/
Odyssey of Self,Books Under 750PKR,https://gufhtugu.com/odyssey-of-self/
Pakistan I Still Love You,Books Under 750PKR,https://gufhtugu.com/product/pakistan-i-still-love-you/
Power BI (Advance) – (ایڈوانس) پاور بی آئی,Educational U,https://gufhtugu.com/power-bi-advance/
Power BI ka Taruf – پاور بی آئی کا تعارف,Educational U,https://gufhtugu.com/power-bi-ka-taruf/
"Probability, Statistics & Data Science – امکان،شماریات اور ڈیٹا سائنس",Educational U,https://gufhtugu.com/probability-statistics-data-science/
Product Management,Books Under 750PKR,https://gufhtugu.com/product-management/
PySpark Set (I & II) – پائی اسپارک سیٹ (جلد اول و دوم),Book Sets,https://gufhtugu.com/pyspark-set-i-ii/
PySpark(Part 1) – پائی اسپارک(جلد اول),Educational U,https://gufhtugu.com/pysparkpart-1/
PySpark(Part 2) – پائی اسپارک(جلد دوم),Emerging Technologies,https://gufhtugu.com/pysparkpart-2/
Python Programming,Best Selling,https://gufhtugu.com/python-programming/
R ka Taaruf,Books Under 750PKR,https://gufhtugu.com/product/r-ka-taaruf/
Rakaposhi K Saye Mein,Gufhtugu Publications,https://gufhtugu.com/product/rakaposhi-k-saye-mein/
Ramazan Course – رمضان کورس,Books Under 750PKR,https://gufhtugu.com/ramazan-course/
Sana Rasheed Books Set -ثنا رشید کتب سیٹ۔,Book Sets,https://gufhtugu.com/sana-rasheed-books-set/
Scholars of Pakistan,Books Under 750PKR,https://gufhtugu.com/scholars-of-pakistan/
Science Fraud or Dhoka – سائنس، فراڈ اور دھوکا,Aleem Ahmed,https://gufhtugu.com/science-fraud-or-dhoka/
Scienci Sahafat – سائنسی صحافت,Aleem Ahmed,https://gufhtugu.com/scienci-sahafat/
Simulation of Suicide Bombing: Using Computers to Save Lives,Books Under 750PKR,https://gufhtugu.com/simulation-of-suicide-bombing-using-computers-to-save-lives/
Sukkur To Florida,Books Under 750PKR,https://gufhtugu.com/sukkur-to-florida/
Supermarkets – The Science of Impulse Shopping,Books Under 750PKR,https://gufhtugu.com/supermarkets-the-science-of-impulse-shopping/
System Design – سسٹم ڈیزائن,Emerging Technologies,https://gufhtugu.com/system-design/
Teesra Kinara,Afsanay U,https://gufhtugu.com/product/teesra-kinara/
Tehreer ka Fun – تحریر کا فن,Books Under 750PKR,https://gufhtugu.com/tehreer-ka-fun/
The Conjugal Concoctions,Books Under 750PKR,https://gufhtugu.com/product/the-conjugal-concoctions/
The Embattled Innocence,English Literature,https://gufhtugu.com/the-embattled-innocence/
The Extraordinary Life,Dr Irtaza Rehman,https://gufhtugu.com/the-extraordinary-life/
Thoughts – A Journal,Books Under 750PKR,https://gufhtugu.com/thoughts-a-journal/
Urdu Ishtehariyat ki Tarikh – اردو اشتہاریات کی تاریخ,Books Under 750PKR,https://gufhtugu.com/history-of-urdu-advertisement/
Waqfa e Pareshani,Books Under 750PKR,https://gufhtugu.com/waqfa-e-pareshani/
Zard Kaghaz-زرد کاغذ,Gufhtugu Publications,https://gufhtugu.com/zard-kaghaz/
Zeeshan Ul Hassan Usmani Books Set – ذیشان الحسن عثمانی کتب سیٹ,Book Sets,https://gufhtugu.com/zeeshan-ul-hassan-usmani-books-set/
Zindaan e Alam – زندانِ الم,Books Under 750PKR,https://gufhtugu.com/product/zindaan-e-alam/
کامیاب کردار (Character Curriculum),Gufhtugu Publications,https://gufhtugu.com/character-curriculum/
