Book_name,Description,Category,Tags,Rating
Allergy,"Author: Zaheer Ahmad Anjum
Price: 650/-","Categories: Health, Mix, Urdu Science",no-tag,no-rating
Amraz e Naswan Apna Ilaj Khud Kijye!,no-description,"Categories: Health, Mix",no-tag,no-rating
Cancer – aik muhlik marz,"Author: Zaheer Ahmad Anjum
Price: 360/-","Categories: Books Under 750PKR, Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Chati k cancer se Bachao,"Author: Dr. Khalid Mahmood
Price: 200/-","Categories: Emerging Technologies, Health, Technical, Urdu Science",no-tag,no-rating
Ghiza or Ghizayat,"Author: Professor Dr. Mateen Fatima
Price: 200/-","Categories: Flash Sale, Health, Urdu Science",no-tag,no-rating
Machhar,"Author: Dr. Farkhanda Manzoor
Price: 300/-","Categories: Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Maweshion k umoor,"Author: Professor  Dr. M Maqsood
Price: 300/-","Categories: Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Medical Emergency main Homeopathic Ilaj,"Author: Dr. Abul Waheed
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Medicine of prophet,Medicine of the Prophet (saw) | by Allama Jallaluddin Sayuti,"Categories: English Literature, Flash Sale, Health, Mix",no-tag,no-rating
Shahad se Ilaaj – شہد سے علاج,"Author: Hakeem Saif Ullah Seekho
Price:","Categories: Books Under 750PKR, Health, Mix, Urdu Literature",no-tag,no-rating
Sugar ko Shikast dein – شوگر کو شکست  دیں,no-description,"Categories: Health, Mix",no-tag,no-rating
Zia Betis Control Kijye,"Author: Dr. Muhammad Saleem Farooqi
Price: 100/-","Categories: Books Under 750PKR, Health, Mix, Technical, Urdu Science",no-tag,no-rating
بانجھ پن,no-description,"Categories: Health, Mix",no-tag,no-rating
