Book_name,Description,Category,Tags,Rating
100 Azeem Sciencey Daryaftain,no-description,"Categories: Books Under 750PKR, Educational U, Mix, Urdu Literature",no-tag,no-rating
101 Dalmatians,no-description,"Categories: Children's Book, Children's Books, English Literature, Mix",no-tag,no-rating
12 Maheeno’n k Fazail o Ahkam,no-description,"Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
12 saddi k Ulema e Baresagheer,"Author: Molana Syed Abul Hayyi bin Fakhr ad-Din Al Husni
Molana Syed Abul Hassan Ali Nadvi
Price: 500/-","Categories: Books Under 750PKR, Islamic Books, Mix",no-tag,no-rating
1984 – English,"Author:   George Orwell
Price: 299/-","Categories: Books Under 750PKR, English Literature, Flash Sale, International, Mix, Novel",no-tag,no-rating
1984 (URDU),"Author: GEORGE ORWELL
Translator: ABUL FAZAL SIDDIQUI
Pages: 320
Price:700/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
21 Jaleel ul Qadar Tabieen Karam,"By Maulana Muhammad Abdul Rehman Mazahari
Price : 600/-","Categories: Islam U, Mix, Urdu Literature",no-tag,no-rating
21st century Nobel Inaam yafta Khawateen,"Author: M A Farooqi
Price: 1200/-","Categories: Classics, History U, Mix, Urdu Literature",no-tag,no-rating
39بڑے آدمی,no-description,"Categories: Biography U, Books Under 750PKR, History U, Mix, Personal development, Urdu Literature",no-tag,no-rating
50 Success Classics,"Author: Tom Butler-Bowdon
Price: 600/-","Categories: English Literature, International, Mix",no-tag,no-rating
A Brief History of Time,Author: Stephen Hawking,"Categories: Educational E, English Literature, Mix",no-tag,no-rating
A Farewell to Arms,"Author: Ernest Hemingway
Language: English
Price: 299/-","Categories: English Literature, Flash Sale, International, Mix, Novel",no-tag,no-rating
A Letter to Santa,no-description,"Categories: Children's Book, Children's Books, English Literature, Mix",no-tag,no-rating
A NEW EARTH: AWAKENING TO YOUR LIFE’S PURPOSE,Author: ECKHART TOLLE,"Categories: English Literature, International, Mix",no-tag,no-rating
A Quiet Night in,Author: Jill Murphy,"Categories: Children's Book, Children's Books, English Literature, Mix",no-tag,no-rating
A Very Special Visitor,Author: Rebecca Gerlings,"Categories: Children's Book, Children's Books, English Literature, Mix",no-tag,no-rating
Aa’nhazrat SAW k Sawalat or Sahaba k Jawabat,"Author: Suleman Naseef
Translator: Mulana Hussain Ahmad Najeeb
Price: 330/-","Categories: Books Under 750PKR, Islamic Books, Mix",no-tag,no-rating
Aab e Hayat(آب حیات),"Author: MAULANA MUHAMMAD HUSSAIN AZAD
Pages: 496
Price: 900/-","Categories: Biography U, Mix, Urdu Literature",no-tag,no-rating
AAKHRI CHITAN,"Author: NASEEM HIJAZI
Language: Urdu
Price: 850/-","Categories: Mix, Naseem Hijazi, Novel U, Urdu Literature",no-tag,no-rating
AAKHRI MAARKA,"Author: NASEEM HIJAZI
Language: Urdu
Price: 750/-","Categories: Mix, Naseem Hijazi, Novel U, Urdu Literature",no-tag,no-rating
Aalmi Sb Rang Afsany,no-description,"Categories: Afsanay U, Mix, Urdu Literature",no-tag,no-rating
no-name,no-description,no-category,no-tag,no-rating
Aashnaiyan kia kia,"Author: Rashid Ashraf
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
Abdullah  – عبد اللہ,Author: HASHIM NADEEM,"Categories: Mix, Novel U, Urdu Literature",no-tag,no-rating
Abr-E-Musalsal,"Qasim Ali Shah
Price : 700/-","Categories: Mix, Uncategorized1",no-tag,no-rating
ADMI GHANEEMAT HAI,"Author: راشد اشرف
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
Ahang baz gasht,"Author: راشد اشرف
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
Ahkam e Islam Aqal ki Nazar main – احکام اسلام عقل کی نظر میں,no-description,"Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
Ahsan Al-Hadees Fi Abtaal Taslees,"By Maulana Rehmat Ullah Kair Anwi
Price : 530/-","Categories: Islam U, Mix, Urdu Literature",no-tag,no-rating
Ahwal Us Saadqeen – احوال الصادقین,Author: Hazrat Imam Abul Wahab Sherani,"Categories: Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
AI for Babies & Toddlers,"Author: Dr. Handeep Kaur Dhoot
Price: 300/-","Categories: Books Under 750PKR, Children's Book, Children's Books, Data Science, Emerging Technologies, English Literature, Gufhtugu Publications, International, Mix, Technical",no-tag,no-rating
Aik Aurat Hazar Diwane(ایک عورت ہزار دیوانے),"Author: KRISHAN CHANDAR
Pages: 232
Price: 500/-","Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature","Tags: Aik Aurat Hazar Diwane, novel book, urdu novel",no-rating
Aik Gadhay Ki Sarguzasht – ایک گدھے کی سرگزشت,"Author: KRISHAN CHANDAR
Pages: 230
Price:  500","Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik Ghazal – ایک غزل,"Author: Peerzada Ashiq Keranvi
Pages: 1177
Price: 1500/-","Categories: Mix, Poetry U, Urdu Literature, Urdu Poetry",no-tag,no-rating
AIK HI BOLEE (PHULKARI),"Author: ASHFAQ AHMAD
Price: 500/-","Categories: Ashfaq Ahmed, Mix, Urdu Literature",no-tag,no-rating
Aik khanjar Pani me – ایک خنجر پانی میں,"Author: Khalid Javed
Price: 350/-","Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik Pagal ki Diary,"Author: Abul Farah Hamayun
Price: 300/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik Police Officer ki Diary,"Author: Ghulam Rasool Zahid
Price: 500/-","Categories: Autobiography U, Books Under 750PKR, Children's Book U, Children's Books, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
Aik Sawaal – ایک سوال,"Writer: Amrita Pritam
Price : 400/-","Categories: Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik soo azeem falsafi,no-description,"Categories: Biography U, History U, Mix, Philosophy U, Urdu Literature",no-tag,no-rating
Aik tha But Shikan,"Author: Muhammad Faheem Alam
Price: 450/-","Categories: Books Under 750PKR, History U, Islam U, Mix, Urdu Literature",no-tag,no-rating
Aik Udas Kitab,"Author: AMRITA PRITAM
Translator: AHMED SALEEM
Pages: 158
Price: 400/-","Categories: Afsanay U, Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Ajnabi,"Author: Albert Camus
Translator: Ammar Iqbal
Language: Urdu
Price: 250/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Akbar Badshah aur Birbal ki Kehaniyan,no-description,"Categories: Mix, New Arrivals, Uncategorized1",no-tag,no-rating
Akhlaq E Muhammad(SAW) Quran Hakeem k Ainey main,"Author: Dr. Abul Khair Kashfi
Price: 440/-","Categories: Books Under 750PKR, Islamic Books, Mix",no-tag,no-rating
Aks e Tashfeen,"Author: Tashfeen Farooqi
Pages: 127
Price: 600/-","Categories: Mix, Poetry U, Urdu Literature",no-tag,no-rating
Al Ilmul Ulmaa – العلم و لعلماء,no-description,"Categories: Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
Al-Hizb Al-Azam,"​الحزب الأعظم
Al-Hizb Al-Azam By Mullah Ali Qari .
Hardcover & With Urdu Translate.","Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",Tag: Dua,no-rating
Alamgeriat pase manzar o pesh manzar,"Author: Muhammad Jamil Arshad
Price: 400/-","Categories: History U, Mix, Urdu Literature",no-tag,no-rating
Alberoni,"Author: Professor Khadim Ali Shah
Price: 400/-","Categories: Biography U, Books Under 750PKR, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Alchemist | Graphic Edition,"Author: PAULO COELHO
Translator: ZAREEN QAMAR
Pages: 224
Price: 700/-","Categories: Mix, Novel U, Personal development, Urdu Literature",no-tag,no-rating
Alfie’s Christmas,Author: Shirley Hughes,"Categories: Children's Book, Children's Books, English Literature, Mix",no-tag,no-rating
Aliens Love Panta Claus,Author: Claire Freedman,"Categories: Children's Book, Children's Books, English Literature, Mix",no-tag,no-rating
All in one Book12(2020) WORLD TIMES,no-description,"Categories: Educational U, History U, Mix",no-tag,no-rating
ALLAH ke Safeer,no-description,"Categories: Islam U, Mix, Urdu Literature",no-tag,no-rating
ALLAH ke Wali – اللہ کے ولی,no-description,"Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
Allergy,"Author: Zaheer Ahmad Anjum
Price: 650/-","Categories: Health, Mix, Urdu Science",no-tag,no-rating
Almi Nasri Adab (Vol: 1) – عالمی نثری ادب (جلد اوّل),"Author: ASHAR NAJMI
Pages: 704","Categories: Mix, Urdu Literature",no-tag,no-rating
Almi Nasri Adab (Vol: 2) – عالمی نثری ادب (جلد دوم),"Author: ASHAR NAJMI
Pages: 704","Categories: Mix, Urdu Literature",no-tag,no-rating
Almi Nasri Adab (Vol: 3) – عالمی نثری ادب (جلد سوم),"Author: ASHAR NAJMI
Pages: 704","Categories: Mix, Novel U, Urdu Literature",no-tag,no-rating
Amar Bail,no-description,"Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Ameer Taimoor,no-description,"Categories: Mix, Uncategorized1",no-tag,no-rating
Amerikey Kahaniyan – امریکی کہانیاں,"Author: Yasir Habib
Price: 1500/-","Categories: Mix, Novel U, Urdu Literature",no-tag,no-rating
Amjad Fehmi,"Author: Dr. Syed Taqqi Abdi
Price: 2500/-","Categories: Biography U, Mix, New Arrivals, Poetry U, Urdu Literature",no-tag,no-rating
Amli Asariyat,"Author: Asif Mehmood Rana
Price: 500/-","Categories: Educational U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Amraz e Naswan Apna Ilaj Khud Kijye!,no-description,"Categories: Health, Mix",no-tag,no-rating
Amritsar ki yadein,"Author: راشد اشرف
Price: 580/-","Categories: Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
An American Brat,"Author:  Bapsi Sidhwa
Language: English
Price: 399/-","Categories: English Literature, Flash Sale, International, Mix, Novel",no-tag,no-rating
