Book_name,Description,Category,Tags,Rating
Aathvan Aadmi,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Books Under 750PKR, Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Asadam,"Author: Mazhar Kaleem MA
Price: 200/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Askaram part 1 and 2,"Author: Mazhar Kaleem MA
Price: 300/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Aucha War,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ayyar,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Badnaseeb Hotel,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Baghi Camp,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Bahut Bari Bala,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Be Tuki Wardatein,"Author: Ishtiaq Ahmed
Price: 300/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Begal Mission,"Author: Ishtiaq Ahmed
Price: 480/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Bhayanak Roop,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Birth Stone,"Author: Mazhar Kaleem MA
Price:100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Business,"Author: Mazhar Kaleem MA
Price: 160/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Crown,"Author: Mazhar Kaleem MA
Price: 260/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Face,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Head,"Author: Mazhar Kaleem MA
Price:150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Hills,"Author: Mazhar Kaleem MA
Price: 200/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Sun,"Author: Mazhar Kaleem MA
Price: 175/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black Thunder Section,"Author: Mazhar Kaleem MA
Price: 200/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Black World,"Author: Mazhar Kaleem MA
Price: 375/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Blind Mission,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Bloody Syndicate,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Blue Bird Group,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Bright Eye,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Broad System,"Author: Mazhar Kaleem MA
Price:150/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Camp Fight,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Capital Agency,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
