Book_name,Description,Category,Tags,Rating
(C++),no-description,"Categories: Best Selling, Books Under 750PKR, Emerging Technologies, Flash Sale, Gufhtugu Publications, Our Authors, Technical, Zeeshan ul Hassan Usmani",Tag: Programming books,no-rating
100 Azeem Sciencey Daryaftain,no-description,"Categories: Books Under 750PKR, Educational U, Mix, Urdu Literature",no-tag,no-rating
12 Maheeno’n k Fazail o Ahkam,no-description,"Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
12 saddi k Ulema e Baresagheer,"Author: Molana Syed Abul Hayyi bin Fakhr ad-Din Al Husni
Molana Syed Abul Hassan Ali Nadvi
Price: 500/-","Categories: Books Under 750PKR, Islamic Books, Mix",no-tag,no-rating
1984 – English,"Author:   George Orwell
Price: 299/-","Categories: Books Under 750PKR, English Literature, Flash Sale, International, Mix, Novel",no-tag,no-rating
39بڑے آدمی,no-description,"Categories: Biography U, Books Under 750PKR, History U, Mix, Personal development, Urdu Literature",no-tag,no-rating
A Study in Scarlet,"Author: Arthur Conan Doyle
Language: English
Price: 199/-","Categories: Books Under 750PKR, English Literature, Flash Sale, International, Novel",no-tag,no-rating
Aa’nhazrat SAW k Sawalat or Sahaba k Jawabat,"Author: Suleman Naseef
Translator: Mulana Hussain Ahmad Najeeb
Price: 330/-","Categories: Books Under 750PKR, Islamic Books, Mix",no-tag,no-rating
Aadab Ul Mu’asharat,"Author: Molana Muhammad Khalid sb
Language: Arabic/Urdu
Pages:613
Price: 300/-","Categories: Books Under 750PKR, Islamic Books",no-tag,no-rating
Aah o Zari,"Author: Abdullah bin Ahmad bin Qadama Almuqaddasi
Price: 480/-","Categories: Books Under 750PKR, Islamic Books",no-tag,no-rating
Aaina Amliyaat – آئینہ عملیات,"Author: Sufi Aziz Ur Rehman Pani Patti
Price: 300/-","Categories: Books Under 750PKR, Islam U, Islamic Books, Urdu Literature",no-tag,no-rating
Aalam Islam Ki Sorat e Hal,Author: Israr Ahmed,"Categories: Books Under 750PKR, Islam U, New Arrivals",no-tag,no-rating
Aao Bacho Dua Parhain,"Author: Molana Muhammad Hashim Arif Makati Sb
Price: 280/-","Categories: Books Under 750PKR, Children's Book U, Children's Books, Islam U, Islamic Books, Urdu Literature",no-tag,no-rating
Aashnaiyan kia kia,"Author: Rashid Ashraf
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
Aathvan Aadmi,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Books Under 750PKR, Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
AD DU’A Divine Help,"by Muhammad Yunus Palanpuri
Price : 180/-","Categories: Books Under 750PKR, Islam U, Uncategorized1",no-tag,no-rating
Adaab Al Masajid,"Author:Maulana Mufti Muhammad Shafi
Language: Urdu
Pages:62
Price: 70/-","Categories: Books Under 750PKR, Islamic Books",no-tag,no-rating
ADAB AZAN O IQAMAT,"ADAB AZAN O IQAMAT

Language: Urdu
Price: 310/-","Categories: Books Under 750PKR, Islamic Books",Tag: Mualana Mufti Muhammad Ameen,no-rating
Adab ul Muashrat,Price : 280/-,"Categories: Books Under 750PKR, Islam U",no-tag,no-rating
ADMI GHANEEMAT HAI,"Author: راشد اشرف
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
AHADITH QUDSIYA,"AHADITH QUDSIYA
Language: Arabic
Pages:328
Price: 460/-","Categories: Books Under 750PKR, Islamic Books",no-tag,no-rating
Ahang baz gasht,"Author: راشد اشرف
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Mix, Zinda Kitabein",no-tag,no-rating
Ahkam e Islam Aqal ki Nazar main – احکام اسلام عقل کی نظر میں,no-description,"Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
AI for Babies & Toddlers,"Author: Dr. Handeep Kaur Dhoot
Price: 300/-","Categories: Books Under 750PKR, Children's Book, Children's Books, Data Science, Emerging Technologies, English Literature, Gufhtugu Publications, International, Mix, Technical",no-tag,no-rating
Aik Aurat Hazar Diwane(ایک عورت ہزار دیوانے),"Author: KRISHAN CHANDAR
Pages: 232
Price: 500/-","Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature","Tags: Aik Aurat Hazar Diwane, novel book, urdu novel",no-rating
Aik Gadhay Ki Sarguzasht – ایک گدھے کی سرگزشت,"Author: KRISHAN CHANDAR
Pages: 230
Price:  500","Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik khanjar Pani me – ایک خنجر پانی میں,"Author: Khalid Javed
Price: 350/-","Categories: Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik Pagal ki Diary,"Author: Abul Farah Hamayun
Price: 300/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik Police Officer ki Diary,"Author: Ghulam Rasool Zahid
Price: 500/-","Categories: Autobiography U, Books Under 750PKR, Children's Book U, Children's Books, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
Aik Qatra Khoon- ایک قطرہ خون,"Author: ISMAT CHUGHTAI
Pages: 304
Price: 400/-","Categories: Books Under 750PKR, Islam U, Islamic Books, Urdu Literature",no-tag,no-rating
Aik tha But Shikan,"Author: Muhammad Faheem Alam
Price: 450/-","Categories: Books Under 750PKR, History U, Islam U, Mix, Urdu Literature",no-tag,no-rating
Aik thi Gypsi – ایک تھی جپسی,"Author: Prosper Mérimée
Translator: Aurang Zeb Qasmi
Price: 300/-","Categories: Books Under 750PKR, New Arrivals, Novel U, Urdu Literature",no-tag,no-rating
Aik Udas Kitab,"Author: AMRITA PRITAM
Translator: AHMED SALEEM
Pages: 158
Price: 400/-","Categories: Afsanay U, Books Under 750PKR, Mix, Novel U, Urdu Literature",no-tag,no-rating
Aik Yaadgar Mushaira,no-description,"Categories: Amjad Saqib, Books Under 750PKR, Dr Muhammad Amjid Saqib, Flash Sale, Our Authors, Poetry U, Urdu Literature",no-tag,no-rating
Aj Nahi To Kabhi Nahi – آج نہیں، تو کبھی نہیں,"مصنف: محمد بشیر جمعہ
صفحات: 172
Price: 400/-","Categories: Books Under 750PKR, New Arrivals, Personal development, Urdu Literature",Tag: personal development,no-rating
Ajnabi,"Author: Albert Camus
Translator: Ammar Iqbal
Language: Urdu
Price: 250/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Akhbar ul Akhyar,"Author:  Hazrat Alama Shaikh Muhammad Abdul Haq Muhaddas delhvi  (خضرت شیخ محقق علامہ شیخ محمد عبد۔الحق محدث دہلوی)
Price: 500/-","Categories: Books Under 750PKR, Islamic Books",no-tag,no-rating
Akhlaq E Muhammad(SAW) Quran Hakeem k Ainey main,"Author: Dr. Abul Khair Kashfi
Price: 440/-","Categories: Books Under 750PKR, Islamic Books, Mix",no-tag,no-rating
Al Khummar,Author: Dr.Muhammad Ali Albaar,"Categories: Books Under 750PKR, Islam U, New Arrivals, Urdu Literature",no-tag,no-rating
Al-Hizb Al-Azam,"​الحزب الأعظم
Al-Hizb Al-Azam By Mullah Ali Qari .
Hardcover & With Urdu Translate.","Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",Tag: Dua,no-rating
Aladin ka charagh: bachchon ki alif laila,"Author:  Muhammad Saleem-Ur-Rehman
Language: Urdu
Price: 95/-","Categories: Books Under 750PKR, Children's Book U, Children's Books, Flash Sale, Urdu Literature",no-tag,no-rating
