Book_name,Description,Category,Tags,Rating
Data Science Interview – ڈیٹا سائنس انٹرویو,مصنفین: ثناء رشید، ڈاکٹر ذیشان الحسن عثمانی۔,"Categories: Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani","Tags: Data Science, Data Science Interview book",no-rating
Dayar e Dil – دیار دل,انتخاب و تالیف: ذیشان الحسسن عثمانی,"Categories: Gufhtugu Publications, New Arrivals, Our Authors, Poetry U, Upcoming Books, Urdu Literature, Zeeshan ul Hassan Usmani","Tags: Dayar e Dil Poetry Book, Poetry Book, Zeeshan-ul-hassan Usmani",no-rating
Digital Marketing 1 – ڈیجیٹل مارکیٹنگ سیکھئے اور کمایئے (پہلی جلد ),مصنفین: ڈاکٹر ذیشان الحسن عثمانی ، ثناء رشید,"Categories: Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani",Tag: Digital Marketing,no-rating
Digital Marketing 2 – ڈیجیٹل مارکیٹنگ سیکھئے اور کمایئے (دوسری جلد ),مصنفین: ڈاکٹر ذیشان الحسن عثمانی ، ثناء رشید,"Categories: Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani",Tag: Digital Marketing,no-rating
Guldasta Shahid Ahmed Dehlavi,Author: SHAHID AHMED DELHVI,"Categories: Biography U, Mix, Upcoming Books, Urdu Literature, Zinda Kitabein",no-tag,no-rating
Kafley Ujalon k,"Author: Dr. Mehmood Ahmad Kawish
Compiled by: Rashid Ashraf
Price: 300/-","Categories: Afsanay U, Books Under 750PKR, Mix, Upcoming Books, Urdu Literature, Zinda Kitabein",no-tag,no-rating
Kia Qafla Jata hy,"Author: Nasrullah Khan
Compiled by: Rashid Ashraf","Categories: Afsanay U, Mix, Upcoming Books, Urdu Literature, Zinda Kitabein",no-tag,no-rating
Machine Learning or Cyber Security – مشین لرننگ اور سائبر سکیورٹی,مصنفین: ثناء رشید، ذیشان الحسن عثمانی,"Categories: Educational U, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani","Tags: Cyber Security, Machine Learning, Zeeshan-ul-hassan Usmani",no-rating
Mukhtasir Safarnamay o Raportaz,Author: RASHID ASHRAF,"Categories: Mix, Travelogue U, Upcoming Books, Urdu Literature, Zinda Kitabein",no-tag,no-rating
PySpark Set (I & II) – پائی اسپارک سیٹ (جلد اول و دوم),مصنفین: ثناء رشید، ذیشان الحسن عثمانی,"Categories: Book Sets, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani","Tags: data science book, PySpark 2.1.2 documentation, PySpark Set (I & II), spark grogramming guide",no-rating
PySpark(Part 1) – پائی اسپارک(جلد اول),مصنفین: ثناء رشید، ذیشان الحسن عثمانی,"Categories: Educational U, Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani","Tags: Learn PySpark (Part 1), Learn PySpark (Part 1) in urdu, PySpark, PySpark (Part 1), PySpark in urdu",no-rating
PySpark(Part 2) – پائی اسپارک(جلد دوم),مصنفین: ثناء رشید، ذیشان الحسن عثمانی,"Categories: Emerging Technologies, Gufhtugu Publications, New Arrivals, Our Authors, Sana Rasheed, Technical, Upcoming Books, Zeeshan ul Hassan Usmani","Tags: Introduction to PySpark-Part 2, PySpark-Part 2, PySpark-Part 2 by Sana Rasheed",no-rating
Qaid e Yaghistan,Author: Muhammad Akram Siddiqui,"Categories: Autobiography U, Biography U, Upcoming Books, Urdu Literature, Zinda Kitabein","Tags: Qaid e Yaghistan, Urdu literature books",no-rating
Sadqeen Shair Musavvir Khattat,"Author: Syed Sultan Ahmed Naqvi
Compiled by: Rashid Ashraf
Price: 500/-","Categories: Afsanay U, Mix, Upcoming Books, Urdu Literature, Zinda Kitabein",no-tag,no-rating
Scienci Sahafat – سائنسی صحافت,مصنف: علیم احمد,"Categories: Aleem Ahmed, Books Under 750PKR, Gufhtugu Publications, New Arrivals, Our Authors, Upcoming Books",no-tag,no-rating
Waqfa e Pareshani,Pages: 384,"Categories: Books Under 750PKR, Emerging Technologies, Gufhtugu Publications, Mix, Our Authors, Personal development, Upcoming Books, Urdu Literature, Zeeshan ul Hassan Usmani","Tags: personal development, Urdu literature books",Rated 3.00 out of 5 based on 1 customer rating
