Book_name,Description,Category,Tags,Rating
100 Azeem Musliman,"Author: Yasir Jawad
Language: Urdu
Price:750/-","Categories: History U, Islam U, Islamic Books, Urdu Literature",no-tag,no-rating
100 Azeem Sciencey Daryaftain,no-description,"Categories: Books Under 750PKR, Educational U, Mix, Urdu Literature",no-tag,no-rating
100 azeem shakhsiyat,"Language: Urdu
Price: 1000/-","Categories: Autobiography U, History U, Urdu Literature",no-tag,no-rating
100: Insani Tehzeeb Kay Mamar – 100 انسانی تہذیب کے معمار,"Author: WILL DURANT
Translator: YASIR JAWAD
Check YASIR JAWAD’s other books:

WAQT KI MUKHTASAR TARIKH
Nobel Khutbaat – adab
Mera Pakistani Safarnama

Pages: 615
Price: 1500/-","Categories: Biography U, History U, Urdu Literature","Tags: 100: Insani Tehzeeb Kay Mamar, gufhtugu.com, urdu book",no-rating
12 Maheeno’n k Fazail o Ahkam,no-description,"Categories: Books Under 750PKR, Islam U, Islamic Books, Mix, Urdu Literature",no-tag,no-rating
1984 (URDU),"Author: GEORGE ORWELL
Translator: ABUL FAZAL SIDDIQUI
Pages: 320
Price:700/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
21 Jaleel ul Qadar Tabieen Karam,"By Maulana Muhammad Abdul Rehman Mazahari
Price : 600/-","Categories: Islam U, Mix, Urdu Literature",no-tag,no-rating
21st century Nobel Inaam yafta Khawateen,"Author: M A Farooqi
Price: 1200/-","Categories: Classics, History U, Mix, Urdu Literature",no-tag,no-rating
39بڑے آدمی,no-description,"Categories: Biography U, Books Under 750PKR, History U, Mix, Personal development, Urdu Literature",no-tag,no-rating
Aab e Hayat(آب حیات),"Author: MAULANA MUHAMMAD HUSSAIN AZAD
Pages: 496
Price: 900/-","Categories: Biography U, Mix, Urdu Literature",no-tag,no-rating
Aadam Khor Wehshi: Maut Ka Taaqub (Book 18),"Author:  A.Hameed
Language: Urdu
Price: 95/-","Categories: Children's Book U, Children's Books, Flash Sale, Urdu Literature",no-tag,no-rating
Aaga se Aaga Nasir Tak-آغا سے آغا ناصر تک,Author :Aaga Nasir,"Categories: New Arrivals, Urdu Literature",no-tag,no-rating
Aaina Amliyaat – آئینہ عملیات,"Author: Sufi Aziz Ur Rehman Pani Patti
Price: 300/-","Categories: Books Under 750PKR, Islam U, Islamic Books, Urdu Literature",no-tag,no-rating
AAKHRI CHITAN,"Author: NASEEM HIJAZI
Language: Urdu
Price: 850/-","Categories: Mix, Naseem Hijazi, Novel U, Urdu Literature",no-tag,no-rating
AAKHRI MAARKA,"Author: NASEEM HIJAZI
Language: Urdu
Price: 750/-","Categories: Mix, Naseem Hijazi, Novel U, Urdu Literature",no-tag,no-rating
Aalam Islam Ki Sorat e Hal,Author: Israr Ahmed,"Categories: Books Under 750PKR, Islam U, New Arrivals",no-tag,no-rating
Aalmi Sb Rang Afsany,no-description,"Categories: Afsanay U, Mix, Urdu Literature",no-tag,no-rating
