Book_name,Description,Category,Tags,Rating
Aaye Janwar Palty hain,"Author: Dr. Muhammad Naseem Siddiqui
Price: 120/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Alberoni,"Author: Professor Khadim Ali Shah
Price: 400/-","Categories: Biography U, Books Under 750PKR, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Allergy,"Author: Zaheer Ahmad Anjum
Price: 650/-","Categories: Health, Mix, Urdu Science",no-tag,no-rating
Amli Asariyat,"Author: Asif Mehmood Rana
Price: 500/-","Categories: Educational U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Azmaish or Jaiza,"Author: Dr. Fareed A Khawaja/ Ilyas Qadeer Tahir
Price: 60/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Balogh Al-Arab – 4,"Author: Mehmood Shakri Alosi/ Dr. Pir Muhammad Hassan
Price: 1600/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Burhapa: 1 Qudarti Amal,"Author: Dr. Javed Iqbal Qazi
Price: 200/-","Categories: Books Under 750PKR, Educational U, Urdu Literature, Urdu Science",no-tag,no-rating
Cancer – aik muhlik marz,"Author: Zaheer Ahmad Anjum
Price: 360/-","Categories: Books Under 750PKR, Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Chati k cancer se Bachao,"Author: Dr. Khalid Mahmood
Price: 200/-","Categories: Emerging Technologies, Health, Technical, Urdu Science",no-tag,no-rating
Cheen main Science Fiction,"Author: Abid Siyal
Price: 450/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Deemak ki kahani,"Author: Javed Ahmad
Price:200/-","Categories: Books Under 750PKR, Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Dinosaur,"Author: Jamil Ahmad
Price: 500/-","Categories: Books Under 750PKR, Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Einstein ki Kainaat,"Author: Nasir M Chaudry
Price: 300/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Fortran 77,"Author: Ameer Saif Ullah Saif
Price: 130/-","Categories: Books Under 750PKR, Emerging Technologies, Technical, Urdu Science",no-tag,no-rating
Geotectonics,"Author: Dr. Rauf Nizami
Price: 530/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Gharelo encyclopedia,"By: Amla Idarat
Price: 2500/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Gharelo Refrigerator or Air Conditioner,"Author: Professor Sheikh Javed Iqbal
Price: 400/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Gharelo refrigerator or air conditioner ki Murammat,"Author: Professor Sheikh Iqbal Qazi
Price: 400/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Ghiza or Ghizayat,"Author: Professor Dr. Mateen Fatima
Price: 200/-","Categories: Flash Sale, Health, Urdu Science",no-tag,no-rating
Gin Tara (Abacus),"Author: Muhammad Zubair
Price: 140/-","Categories: Technical, Urdu Science",no-tag,no-rating
Hamari Jild,"Author: Jamil Ahmad
Price: 90/-","Categories: Books Under 750PKR, Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Haqeeqat ka Jadu,"Author: Dr. Anbareen Salah ud Din
Price: 500/-","Categories: Books Under 750PKR, Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Hewani Fitrat jibillat or rawiye,"Author: Zahida Hameed
Price: 140/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Ilm e Kimya,"Author: Jamil Ahmad
Price: 100/-","Categories: Educational U, Emerging Technologies, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Insani Jisam Kia hy,"Author: Sarfaraz Ahmad
Price: 200/-","Categories: Books Under 750PKR, Educational U, Emerging Technologies, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Insaniyat ka Mustaqbil – انسانیت کا مستقبل,مزید ہسٹری کی کتابوں کے لئے اس لنک پر کلک کریں۔,"Categories: Educational U, History U, New Arrivals, Urdu Literature, Urdu Science","Tags: ghufhtugu publication, Insaniyat ka Mustaqbil, urdu literature",no-rating
Jadeed Biotechnology,"Author: Professor Dr. Javed Iqbal Qazi
Price: 200/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Jadid gulbani or chaman arayi,"Author: Dr. Malik Abid Mehmood/ Naveed Ahmad/ Muhammad Saleem Akhtar Khan
Price: 1600/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Kashaaf e Mukhaffafat,"Author: Muhammad Islam Nishtar
Price: 1200/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Khamrey,"Author: Dr. Syed Naseem Ul Hassan Naqvi/ Dr.Syed Muhammad Aamir
Price: 145/-","Categories: Books Under 750PKR, Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Khordbini Jandaar or Amal e Takhmeer,"Author: Dr. Muhammad Rafique Khan
Price: 180/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Kimyaa or hum,"Author: Dr. Muhammad Rafique Khan
Price: 100/-","Categories: Books Under 750PKR, Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Koh e Atish Fishan,"Author: Ashfaq Khan
Price: 140/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Lava kia hy,"Author: Altaf Hussain Malik
Price: 120/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Machhar,"Author: Dr. Farkhanda Manzoor
Price: 300/-","Categories: Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Madey – Kimiya,"Author: Zahida Hameed
Price: 120/-","Categories: Books Under 750PKR, Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Maqnatees or Maqnatesiyat,"Author: Sarfaraz Ahmad
Price: 100/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Mareekh,"Author: Jamil Ahmad
Price:200/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
